row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Giá trị hợp lý,Số cuối năm > VNDDự phòng,Số cuối năm > Giá gốc_1,Số đầu năm > Giá trị hợp lý,Số đầu năm > VNDDự phòng,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị hợp lý,numeric__Số cuối năm > VNDDự phòng,numeric__Số cuối năm > Giá gốc_1,numeric__Số đầu năm > Giá trị hợp lý,numeric__Số đầu năm > VNDDự phòng
Trái phiếu (ii),Trái phiếu (ii),Trái phiếu (ii),222.815.452.430,(i),-,436.457.180.408,(i),-,222815452430.0,,,436457180408.0,,
Cố phiếu,Cố phiếu,Cố phiếu,-,-,-,128.155.250.060,168.487.354.000,-,,,,128155250060.0,168487354000.0,
,,,222.815.452.430,,-,564.612.430.468,,-,222815452430.0,,,564612430468.0,,
