row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Quỹ khác thuộc vốn chủ sở hữu,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Lợi ích của cổ đông không kiểm soát,Tổng cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Quỹ khác thuộc vốn chủ sở hữu,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích của cổ đông không kiểm soát,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,VND,VND,,,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,2.218.700.000.000,-,464.368.621.259,5.000.000.000,360.811.611.545,599.347.539.257,3.648.227.772.061,2218700000000.0,,464368621259.0,5000000000.0,360811611545.0,599347539257.0,3648227772061.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,556.838.633.122,98.791.883.784,655.630.516.906,,,,,556838633122.0,98791883784.0,655630516906.0
Chi trả cổ tức,Chi trả cổ tức,Chi trả cổ tức,-,-,-,-,(427.496.000.000),(44.373.545.500),(471.869.545.500),,,,,-427496000000.0,-44373545500.0,-471869545500.0
Trích quỹ khen,Trích quỹ khen,Trích quỹ khen,-,-,-,-,(36.663.626.573),(3.454.088.266),(40.117.714.839),,,,,-36663626573.0,-3454088266.0,-40117714839.0
"thường, phúc lợi","thường, phúc lợi","thường, phúc lợi",,,,,,,,,,,,,,
Thay đổi tỷ lệ sở hữu tại các công ty con,"thường, phúc lợi > Thay đổi tỷ lệ sở hữu tại các công ty con",Thay đổi tỷ lệ sở hữu tại các công ty con,-,-,-,-,(27.875.998.821),(267.113.624.641),(294.989.623.462),,,,,-27875998821.0,-267113624641.0,-294989623462.0
Mua công ty con,"thường, phúc lợi > Mua công ty con",Mua công ty con,-,-,-,-,-,137.229.125.016,137.229.125.016,,,,,,137229125016.0,137229125016.0
Số dư cuối năm trước,"thường, phúc lợi > Số dư cuối năm trước",Số dư cuối năm trước,2.218.700.000.000,-,464.368.621.259,5.000.000.000,425.614.619.273,520.427.289.650,3.634.110.530.182,2218700000000.0,,464368621259.0,5000000000.0,425614619273.0,520427289650.0,3634110530182.0
Số dư đầu năm nay,"thường, phúc lợi > Số dư đầu năm nay",Số dư đầu năm nay,2.218.700.000.000,-,464.368.621.259,5.000.000.000,425.614.619.273,520.427.289.650,3.634.110.530.182,2218700000000.0,,464368621259.0,5000000000.0,425614619273.0,520427289650.0,3634110530182.0
Tăng vốn trong năm (i),"thường, phúc lợi > Tăng vốn trong năm (i)",Tăng vốn trong năm (i),781.300.000.000,835.287.500.000,-,-,-,-,1.616.587.500.000,781300000000.0,835287500000.0,,,,,1616587500000.0
Lợi nhuận thuần trong năm,"thường, phúc lợi > Lợi nhuận thuần trong năm",Lợi nhuận thuần trong năm,-,-,-,-,565.867.041.019,88.921.937.997,654.788.979.016,,,,,565867041019.0,88921937997.0,654788979016.0
Cổ tức công bố (ii),"thường, phúc lợi > Cổ tức công bố (ii)",Cổ tức công bố (ii),-,-,-,-,(110.935.000.000),(63.162.376.000),(174.097.376.000),,,,,-110935000000.0,-63162376000.0,-174097376000.0
Trích quỹ khen,"thường, phúc lợi > Trích quỹ khen",Trích quỹ khen,-,-,-,-,(16.322.273.863),(1.777.816.807),(18.100.090.670),,,,,-16322273863.0,-1777816807.0,-18100090670.0
"thường, phúc lợi (iii)","thường, phúc lợi (iii)","thường, phúc lợi (iii)",,,,,,,,,,,,,,
Thù lao Hội đồng,"thường, phúc lợi (iii) > Thù lao Hội đồng",Thù lao Hội đồng,-,-,-,-,(58.457.012),(661.542.988),(720.000.000),,,,,-58457012.0,-661542988.0,-720000000.0
Quản trị,Quản trị,Quản trị,,,,,,,,,,,,,,
Thay đổi tỷ lệ lợi ích tại công ty con,Quản trị > Thay đổi tỷ lệ lợi ích tại công ty con,Thay đổi tỷ lệ lợi ích tại công ty con,-,-,-,-,(15.257.476.186),(11.367.574.215),(26.625.050.401),,,,,-15257476186.0,-11367574215.0,-26625050401.0
Mua công ty con,Quản trị > Mua công ty con,Mua công ty con,-,-,61.494.842.289,-,-,164.414.618.319,225.909.460.608,,,61494842289.0,,,164414618319.0,225909460608.0
Công ty con tái phát hành cổ phiếu quỹ,Quản trị > Công ty con tái phát hành cổ phiếu quỹ,Công ty con tái phát hành cổ phiếu quỹ,-,-,-,-,9.208.352.975,62.463.739.956,71.672.092.931,,,,,9208352975.0,62463739956.0,71672092931.0
Số dư cuối năm nay,Quản trị > Số dư cuối năm nay,Số dư cuối năm nay,3.000.000.000.000,835.287.500.000,525.863.463.548,5.000.000.000,858.116.806.206,759.258.275.912,5.983.526.045.666,3000000000000.0,835287500000.0,525863463548.0,5000000000.0,858116806206.0,759258275912.0,5983526045666.0
