row_label_raw,row_label_full,col_0,Giá trị ghi số ghi nhận tại ngày mua,numeric__Giá trị ghi số ghi nhận tại ngày mua
,,,VND,
Tài sản,Tài sản,Tài sản,Tài sản,
Tiền,Tài sản > Tiền,Tiền,64.130.098.996,64130098996.0
Đầu tư tài chính ngắn hạn,Tài sản > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,147.000.000.000,147000000000.0
Các khoản phải thu ngắn hạn,Tài sản > Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,151.757.156.128,151757156128.0
Hàng tồn kho,Tài sản > Hàng tồn kho,Hàng tồn kho,215.236.144,215236144.0
Tài sản ngắn hạn khác,Tài sản > Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,12.125.163.076,12125163076.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,2.203.774.567.310,2203774567310.0
Tài sản dở dang dài hạn,Tài sản > Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,1.744.978.141,1744978141.0
Lợi thế thương mại,Tài sản > Lợi thế thương mại,Lợi thế thương mại,38.184.709.266,38184709266.0
Tài sản dài hạn khác,Tài sản > Tài sản dài hạn khác,Tài sản dài hạn khác,61.930.635.824,61930635824.0
,,,2.680.862.544.885,2680862544885.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,
Phải trả người bán,Nợ phải trả > Phải trả người bán,Phải trả người bán,2.002.149.208,2002149208.0
Vay và nợ,Nợ phải trả > Vay và nợ,Vay và nợ,1.537.672.750.565,1537672750565.0
Phải trả khác,Nợ phải trả > Phải trả khác,Phải trả khác,23.215.666.514,23215666514.0
,,,1.562.890.566.287,1562890566287.0
Tổng tài sản thuần theo giá trị ghi số [a],Nợ phải trả > Tổng tài sản thuần theo giá trị ghi số [a],Tổng tài sản thuần theo giá trị ghi số [a],1.117.971.978.598,1117971978598.0
Cổ đông không kiểm soát [b],Nợ phải trả > Cổ đông không kiểm soát [b],Cổ đông không kiểm soát [b],(159.955.524.159),-159955524159.0
Chênh lệch giữa giá phí hợp nhất và tài sản thuần được ghi nhận vào Quỹ khác thuộc vốn chủ sở hữu [c],Nợ phải trả > Chênh lệch giữa giá phí hợp nhất và tài sản thuần được ghi nhận vào Quỹ khác thuộc vốn chủ sở hữu [c],Chênh lệch giữa giá phí hợp nhất và tài sản thuần được ghi nhận vào Quỹ khác thuộc vốn chủ sở hữu [c],(71.841.292.732),-71841292732.0
Tổng giá phí hợp nhất kinh doanh đã thanh toán [d] = [a + b + c],Nợ phải trả > Tổng giá phí hợp nhất kinh doanh đã thanh toán [d] = [a + b + c],Tổng giá phí hợp nhất kinh doanh đã thanh toán [d] = [a + b + c],886.175.161.707,886175161707.0
Thông tin lưu chuyển tiền tệ từ việc mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con,
Tiền thu về từ công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con > Tiền thu về từ công ty con,Tiền thu về từ công ty con,64.130.098.996,64130098996.0
Tiền chỉ để mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con > Tiền chỉ để mua công ty con,Tiền chỉ để mua công ty con,(886.175.161.707),-886175161707.0
Tổng tiền thuần đã chỉ cho nghiệp vụ mua,Thông tin lưu chuyển tiền tệ từ việc mua công ty con > Tổng tiền thuần đã chỉ cho nghiệp vụ mua,Tổng tiền thuần đã chỉ cho nghiệp vụ mua,(822.045.062.711),-822045062711.0
