row_label_raw,row_label_full,col_0,col_1,Số tiềnVND,numeric__col_1,numeric__Số tiềnVND
Lương và các khoản thu nhập khác,Lương và các khoản thu nhập khác,Lương và các khoản thu nhập khác,Chức vụ,3.531.000.000,,3531000000.0
Nguyễn Văn Tuấn,Nguyễn Văn Tuấn,Nguyễn Văn Tuấn,Chủ tịch HĐQT,9.000.000,,9000000.0
Nguyễn Trọng Tiểu,Nguyễn Trọng Tiểu,Nguyễn Trọng Tiểu,Thành viên HĐQT,2.335.000.000,,2335000000.0
Đỗ Duy Hưng,Đỗ Duy Hưng,Đỗ Duy Hưng,Thành viên HĐQT,582.000.000,,582000000.0
Đặng Phan Tường,Đặng Phan Tường,Đặng Phan Tường,Thành viên HĐQT,582.000.000,,582000000.0
Lê Quang Định,Lê Quang Định,Lê Quang Định,Thành viên HĐQT,9.000.000,,9000000.0
Nguyễn Trần Đăng Phước,Nguyễn Trần Đăng Phước,Nguyễn Trần Đăng Phước,Thành viên HĐQT,7.000.000,,7000000.0
Nguyễn Quốc Vinh,Nguyễn Quốc Vinh,Nguyễn Quốc Vinh,Thành viên HĐQT,7.000.000,,7000000.0
Thù lao Hội đồng Quản trị (*),Thù lao Hội đồng Quản trị (*),Thù lao Hội đồng Quản trị (*),,-,,
Tổng cộng,Thù lao Hội đồng Quản trị (*) > Tổng cộng,Tổng cộng,,3.531.000.000,,3531000000.0
