row_label_raw,row_label_full,Đơn vị lưu ký > Công ty Cổ phần chứng khoán VIX > Công ty Cổ phần Chứng khoán Eurocapital,Số dư cuối năm > VND > 650.000.000.000 > 220.000.000.000,Số dư đầu năm > VND > 650.000.000.000 > 400.000.000.000,"Ngày đáo hạn và kỳ trả lãi > Tháng 9 năm 2023, lãi trả 6 tháng 1 lần > Tháng 8 năm 2022, lãi trả theo quý","Lãi suất > %/năm > 9 > 9,8",Tài sản đảm bảo > Cổ phiếu HEM (Công ty Cổ phần Chế tạo Điện Cơ Hà Nội) thuộc sở hữu của Công ty > Cổ phiếu VGC (Tổng Công ty Viglacera – CTCP) thuộc sở hữu của Công ty Cổ phần Hạ Tầng GELEX,numeric__Số dư cuối năm > VND > 650.000.000.000 > 220.000.000.000,numeric__Số dư đầu năm > VND > 650.000.000.000 > 400.000.000.000,"numeric__Ngày đáo hạn và kỳ trả lãi > Tháng 9 năm 2023, lãi trả 6 tháng 1 lần > Tháng 8 năm 2022, lãi trả theo quý","numeric__Lãi suất > %/năm > 9 > 9,8",numeric__Tài sản đảm bảo > Cổ phiếu HEM (Công ty Cổ phần Chế tạo Điện Cơ Hà Nội) thuộc sở hữu của Công ty > Cổ phiếu VGC (Tổng Công ty Viglacera – CTCP) thuộc sở hữu của Công ty Cổ phần Hạ Tầng GELEX
Công ty Cổ phần chứng khoán VIX,Công ty Cổ phần chứng khoán VIX,Công ty Cổ phần chứng khoán VIX,-,440.000.000.000,,,,,440000000000.0,,,
Công ty TNHH Chứng khoán Mirae Asset (Việt Nam),Công ty TNHH Chứng khoán Mirae Asset (Việt Nam),Công ty TNHH Chứng khoán Mirae Asset (Việt Nam),-,381.000.000.000,,,,,381000000000.0,,,
Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,(10.835.848.143),(24.712.671.160),,,,-10835848143.0,-24712671160.0,,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,859.164.151.857,1.846.287.328.840,,,,859164151857.0,1846287328840.0,,,
Trong đó:- Trái phiếu dài hạn đến hạn trả,Trong đó:- Trái phiếu dài hạn đến hạn trả,Trong đó:- Trái phiếu dài hạn đến hạn trả,217.706.007.910,549.238.366.933,,,,217706007910.0,549238366933.0,,,
- Trái phiếu dài hạn,- Trái phiếu dài hạn,- Trái phiếu dài hạn,641.458.143.947,1.297.048.961.907,,,,641458143947.0,1297048961907.0,,,
