row_label_raw,row_label_full,col_0,Số đầu năm,Tăng trong năm,Phần lợi nhuận/(lỗ) từ công ty liên kết > Lợi nhuận/(lỗ)từ kết quả kinhdoanh trong năm,Phần lợi nhuận/(lỗ) từ công ty liên kết > Phân phối Quỹvà điều chỉnh khác,Phần lợi nhuận/(lỗ) từ công ty liên kết > Cổ tức được chiatrong năm,Số cuối năm,numeric__Số đầu năm,numeric__Tăng trong năm,numeric__Phần lợi nhuận/(lỗ) từ công ty liên kết > Lợi nhuận/(lỗ)từ kết quả kinhdoanh trong năm,numeric__Phần lợi nhuận/(lỗ) từ công ty liên kết > Phân phối Quỹvà điều chỉnh khác,numeric__Phần lợi nhuận/(lỗ) từ công ty liên kết > Cổ tức được chiatrong năm,numeric__Số cuối năm
,,,VND,,VND,VND,VND,VND,,,,,,
Công ty Cổ phần Hạ tầng GELEX (i),Công ty Cổ phần Hạ tầng GELEX (i),Công ty Cổ phần Hạ tầng GELEX (i),-,1.771.644.295.436,24.124.289.956,-,-,1.795.768.585.392,,1771644295436.0,24124289956.0,,,1795768585392.0
Tổng Công ty Thiết bị điện Đông Anh- Công ty Cổ phần (ii),Tổng Công ty Thiết bị điện Đông Anh- Công ty Cổ phần (ii),Tổng Công ty Thiết bị điện Đông Anh- Công ty Cổ phần (ii),525.629.967.272,-,26.305.782.532,(3.629.363.509),(12.132.205.500),536.174.180.795,525629967272.0,,26305782532.0,-3629363509.0,-12132205500.0,536174180795.0
Công ty TNHH S.A.S - CTAMAD (i),Công ty TNHH S.A.S - CTAMAD (i),Công ty TNHH S.A.S - CTAMAD (i),269.320.260.119,-,(6.141.175.021),-,-,263.179.085.098,269320260119.0,,-6141175021.0,,,263179085098.0
,,,794.950.227.391,1.771.644.295.436,44.288.897.467,(3.629.363.509),(12.132.205.500),2.595.121.851.285,794950227391.0,1771644295436.0,44288897467.0,-3629363509.0,-12132205500.0,2595121851285.0
