row_label_raw,row_label_full,col_0,Số đầu năm > Giá trị,Số đầu năm > VND > Số có khả năng trả nợ,Số đầu năm > VND > Tăng do hợp nhất,Trong năm > Tăng,Trong năm > VND > Giảm,Trong năm > VND > Giá trị,Số cuối năm > VND > Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > VND > Số có khả năng trả nợ,numeric__Số đầu năm > VND > Tăng do hợp nhất,numeric__Trong năm > Tăng,numeric__Trong năm > VND > Giảm,numeric__Trong năm > VND > Giá trị,numeric__Số cuối năm > VND > Số có khả năng trả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,3.256.467.026.063,3.256.467.026.063,111.771.977.565,19.304.539.054.315,18.179.033.894.046,4.493.744.163.897,4.493.744.163.897,3256467026063.0,3256467026063.0,111771977565.0,19304539054315.0,18179033894046.0,4493744163897.0,4493744163897.0
Vay ngắn hàng (i),Vay ngắn hàng (i),Vay ngắn hàng (i),2.754.972.340.009,2.754.972.340.009,3.771.977.565,17.131.408.885.156,15.415.036.499.683,4.475.116.703.047,4.475.116.703.047,2754972340009.0,2754972340009.0,3771977565.0,17131408885156.0,15415036499683.0,4475116703047.0,4475116703047.0
Vay bên liên quan (ii),Vay bên liên quan (ii),Vay bên liên quan (ii),488.104.346.054,488.104.346.054,100.000.000.000,1.956.000.000.000,2.544.104.346.054,-,-,488104346054.0,488104346054.0,100000000000.0,1956000000000.0,2544104346054.0,,
Vay đối tượng khác,Vay đối tượng khác,Vay đối tượng khác,13.390.340.000,13.390.340.000,8.000.000.000,217.130.169.159,219.893.048.309,18.627.460.850,18.627.460.850,13390340000.0,13390340000.0,8000000000.0,217130169159.0,219893048309.0,18627460850.0,18627460850.0
Nợ dài hạn đến hạn trả,Nợ dài hạn đến hạn trả,Nợ dài hạn đến hạn trả,690.386.688.913,690.386.688.913,88.771.814.000,944.941.666.692,848.096.149.657,876.004.019.948,876.004.019.948,690386688913.0,690386688913.0,88771814000.0,944941666692.0,848096149657.0,876004019948.0,876004019948.0
Trái phiếu đến hạn thanh toán,Trái phiếu đến hạn thanh toán,Trái phiếu đến hạn thanh toán,549.238.366.933,549.238.366.933,-,339.467.640.977,671.000.000.000,217.706.007.910,217.706.007.910,549238366933.0,549238366933.0,,339467640977.0,671000000000.0,217706007910.0,217706007910.0
Vay dài hạn đến hạn trả ngân hàng,Vay dài hạn đến hạn trả ngân hàng,Vay dài hạn đến hạn trả ngân hàng,141.148.321.980,141.148.321.980,79.553.064.000,531.724.025.715,167.877.399.657,584.548.012.038,584.548.012.038,141148321980.0,141148321980.0,79553064000.0,531724025715.0,167877399657.0,584548012038.0,584548012038.0
Vay bên liên quan,Vay bên liên quan,Vay bên liên quan,-,-,9.218.750.000,73.750.000.000,9.218.750.000,73.750.000.000,73.750.000.000,,,9218750000.0,73750000000.0,9218750000.0,73750000000.0,73750000000.0
,,,3.946.853.714.976,3.946.853.714.976,200.543.791.565,20.249.480.721.007,19.027.130.043.703,5.369.748.183.845,5.369.748.183.845,3946853714976.0,3946853714976.0,200543791565.0,20249480721007.0,19027130043703.0,5369748183845.0,5369748183845.0
