row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Giá trị hợp lý,Số cuối năm > VNDDự phòng,Số đầu năm > Giá gốc,Số đầu năm > Giá trị hợp lý,Số đầu năm > VNDDự phòng,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị hợp lý,numeric__Số cuối năm > VNDDự phòng,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Giá trị hợp lý,numeric__Số đầu năm > VNDDự phòng
Tiền gửi có kỳ hạn (i),Tiền gửi có kỳ hạn (i),Tiền gửi có kỳ hạn (i),107.035.000.000,-,-,103.940.061.643,-,-,107035000000.0,,,103940061643.0,,
Trái phiếu,Trái phiếu,Trái phiếu,-,-,-,30.000.000.000,-,-,,,,30000000000.0,,
,,,107.035.000.000,-,-,133.940.061.643,-,-,107035000000.0,,,133940061643.0,,
