row_label_raw,row_label_full,col_0,TÀI SẢN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__TÀI SẢN,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
A.,A.,A.,TÀI SẢN NGẮN HẠN,100,,12.445.884.407.985,9.394.621.303.718,,100.0,,12445884407985.0,9394621303718.0
I.,I.,I.,Tiền và các khoản tương đương tiền,110,5,1.409.760.105.856,802.754.993.832,,110.0,5.0,1409760105856.0,802754993832.0
1.,1.,1.,Tiền,111,,1.289.806.005.856,557.103.398.383,,111.0,,1289806005856.0,557103398383.0
2.,2.,2.,Các khoản tương đương tiền,112,,119.954.100.000,245.651.595.449,,112.0,,119954100000.0,245651595449.0
II.,II.,II.,Đầu tư tài chính ngắn hạn,120,,329.850.452.430,698.552.492.111,,120.0,,329850452430.0,698552492111.0
1.,1.,1.,Chứng khoán kinh doanh,121,6,222.815.452.430,564.612.430.468,,121.0,6.0,222815452430.0,564612430468.0
2.,2.,2.,Đầu tư nằm giữ đến ngày đáo hạn,123,17.1,107.035.000.000,133.940.061.643,,123.0,171.0,107035000000.0,133940061643.0
III.,III.,III.,Các khoản phải thu ngắn hạn,130,,3.529.916.610.729,4.725.103.381.288,,130.0,,3529916610729.0,4725103381288.0
1.,1.,1.,Phải thu ngắn hạn của khách hàng,131,7,2.980.223.731.054,3.854.617.718.834,,131.0,7.0,2980223731054.0,3854617718834.0
2.,2.,2.,Trả trước cho người bán ngắn hạn,132,8,128.299.511.312,101.193.142.155,,132.0,8.0,128299511312.0,101193142155.0
3.,3.,3.,Phải thu về cho vay ngắn hạn,135,9,290.000.000.000,-,,135.0,9.0,290000000000.0,
4.,4.,4.,Phải thu ngắn hạn khác,136,10,352.719.716.172,986.333.858.720,,136.0,10.0,352719716172.0,986333858720.0
5.,5.,5.,Dự phòng phải thu ngắn hạn khó đòi,137,11,(221.326.347.809),(217.041.338.421),,137.0,11.0,-221326347809.0,-217041338421.0
IV.,IV.,IV.,Hàng tồn kho,140,12,6.780.379.220.031,3.039.350.381.102,,140.0,12.0,6780379220031.0,3039350381102.0
1.,1.,1.,Hàng tồn kho,141,,6.793.267.795.420,3.058.458.726.034,,141.0,,6793267795420.0,3058458726034.0
2.,2.,2.,Dự phòng giảm giá hàng tồn kho,149,,(12.888.575.389),(19.108.344.932),,149.0,,-12888575389.0,-19108344932.0
V.,V.,V.,Tài sản ngắn hạn khác,150,,395.978.018.939,128.860.055.385,,150.0,,395978018939.0,128860055385.0
1.,1.,1.,Chi phí trả trước ngắn hạn,151,13,31.671.627.042,26.459.908.113,,151.0,13.0,31671627042.0,26459908113.0
2.,2.,2.,Thuế giá trị gia tăng được khấu trừ,152,,358.869.839.206,82.303.146.771,,152.0,,358869839206.0,82303146771.0
3.,3.,3.,Thuế và các khoản khác phải thu Nhà nước,153,21,5.436.552.691,20.097.000.501,,153.0,21.0,5436552691.0,20097000501.0
