row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,"Bản quyền, bằng sáng chế",Tổng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,"numeric__Bản quyền, bằng sáng chế",numeric__Tổng
,,,VND,VND,VND,VND,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,51.207.049.920,46.944.609.391,40.321.778.266,138.473.437.577,51207049920.0,46944609391.0,40321778266.0,138473437577.0
"Tăng do mua sắm,đầu tư","NGUYÊN GIÁ > Tăng do mua sắm,đầu tư","Tăng do mua sắm,đầu tư",-,20.280.032.650,-,20.280.032.650,,20280032650.0,,20280032650.0
Tăng do hợp nhấtkinh doanh,NGUYÊN GIÁ > Tăng do hợp nhấtkinh doanh,Tăng do hợp nhấtkinh doanh,9.496.288.442,-,-,9.496.288.442,9496288442.0,,,9496288442.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,60.703.338.362,67.224.642.041,40.321.778.266,168.249.758.669,60703338362.0,67224642041.0,40321778266.0,168249758669.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,12.695.602.409,13.157.055.750,504.022.227,26.356.680.386,12695602409.0,13157055750.0,504022227.0,26356680386.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,1.033.959.422,9.689.497.944,2.045.964.106,12.769.421.472,1033959422.0,9689497944.0,2045964106.0,12769421472.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,13.729.561.831,22.846.553.694,2.549.986.333,39.126.101.858,13729561831.0,22846553694.0,2549986333.0,39126101858.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,38.511.447.511,33.787.553.641,39.817.756.039,112.116.757.191,38511447511.0,33787553641.0,39817756039.0,112116757191.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,46.973.776.531,44.378.088.347,37.771.791.933,129.123.656.811,46973776531.0,44378088347.0,37771791933.0,129123656811.0
