row_label_raw,row_label_full,Bên cho vay > Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Đồng Nai > Ngân hàng TNHH MTV Shinhan Việt Nam > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Quảng Nam > Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh TP Hồ Chí Minh > Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh Đồng Anh > Ngân hàng TMCP Quân đội - Chi nhánh Đồng Anh,Số dư cuối năm > VND > 107.324.021.659 > 71.856.290.071 > 40.150.000.000 > 18.710.055.000 > 11.717.940.000 > 5.751.808.129,Số dư đầu năm > VND > - > 89.820.362.589 > - > 37.270.055.000 > 21.838.429.362 > 8.409.385.485,"Ngày đáo hạn và kỳ trả lãi > Kỳ hạn vay 72 tháng, lãi vay trả hàng tháng, đáo hạn vào ngày 15 tháng 5 năm 2022 > Kỳ hạn vay 72 tháng, lãi vay trả hàng tháng, khế ước cuối cùng đáo hạn ngày 18 tháng 10 năm 2025 > Gốc vay đáo hạn lần cuối ngày 13 tháng 9 năm 2023, lãi vay trả hàng quý > Kỳ hạn vay 84 tháng, lãi vay trả hàng quý, khế ước cuối cùng đáo hạn ngày 31 tháng 12 năm 2022 > Kỳ hạn vay 84 tháng, lãi vay trả hàng quý, khế ước cuối cùng đáo hạn ngày 04 tháng 8 năm 2028 > Kỳ hạn vay 84 tháng, lãi vay trả hàng tháng, khế ước cuối đáo hạn ngày 05 tháng 9 năm 2026","Lãi suất > %/năm > 5 - 6,4 > 7,51 > 9,8 > 7,6 > 9,5 > 9,4 - 10,4","Tài sản đảm bảo > ""Nhà máy sản xuất dây đồng"" và công trình phụ trợ; giấy chứng nhận Quyền sử dụng đất và tài sản gắn liền với đất tại Khu Công nghiệp Long Đức, huyện Long Thành, tỉnh Đồng Nai của CFT và thư bảo lãnh của Công ty Cổ phần Tập đoàn Gelex – Công tỷ mẹ > Quyền sử dụng đất và máy móc, thiết bị tại nhà máy Cadivi Miền Trung, Khu công nghiệp Hòa Cảm > Tài sản hình thành từ vốn vay và vốn tự có của Phú Thạnh Mỹ, số dư tài khoản tiền gửi, quyền sử dụng mặt nước, quyền khai thác tài nguyên > Khoản vay được bảo đảm bằng một số tài sản của Cadivi bao gồm công trình nhà xưởng gắn liền với đất và máy móc thiết bị hình thành trong tương lai thuộc dự án thuộc Khu công nghiệp Tân Phú Trung > Quyền tài sản và lợi ích phát sinh từ “Dự án mở rộng nhà xưởng tại Khu công nghiệp Nhơn Trạch 3 và mua sắm thiết bị” của MEE > Máy móc thiết bị tại MEE",numeric__Số dư cuối năm > VND > 107.324.021.659 > 71.856.290.071 > 40.150.000.000 > 18.710.055.000 > 11.717.940.000 > 5.751.808.129,numeric__Số dư đầu năm > VND > - > 89.820.362.589 > - > 37.270.055.000 > 21.838.429.362 > 8.409.385.485,"numeric__Ngày đáo hạn và kỳ trả lãi > Kỳ hạn vay 72 tháng, lãi vay trả hàng tháng, đáo hạn vào ngày 15 tháng 5 năm 2022 > Kỳ hạn vay 72 tháng, lãi vay trả hàng tháng, khế ước cuối cùng đáo hạn ngày 18 tháng 10 năm 2025 > Gốc vay đáo hạn lần cuối ngày 13 tháng 9 năm 2023, lãi vay trả hàng quý > Kỳ hạn vay 84 tháng, lãi vay trả hàng quý, khế ước cuối cùng đáo hạn ngày 31 tháng 12 năm 2022 > Kỳ hạn vay 84 tháng, lãi vay trả hàng quý, khế ước cuối cùng đáo hạn ngày 04 tháng 8 năm 2028 > Kỳ hạn vay 84 tháng, lãi vay trả hàng tháng, khế ước cuối đáo hạn ngày 05 tháng 9 năm 2026","numeric__Lãi suất > %/năm > 5 - 6,4 > 7,51 > 9,8 > 7,6 > 9,5 > 9,4 - 10,4","numeric__Tài sản đảm bảo > ""Nhà máy sản xuất dây đồng"" và công trình phụ trợ; giấy chứng nhận Quyền sử dụng đất và tài sản gắn liền với đất tại Khu Công nghiệp Long Đức, huyện Long Thành, tỉnh Đồng Nai của CFT và thư bảo lãnh của Công ty Cổ phần Tập đoàn Gelex – Công tỷ mẹ > Quyền sử dụng đất và máy móc, thiết bị tại nhà máy Cadivi Miền Trung, Khu công nghiệp Hòa Cảm > Tài sản hình thành từ vốn vay và vốn tự có của Phú Thạnh Mỹ, số dư tài khoản tiền gửi, quyền sử dụng mặt nước, quyền khai thác tài nguyên > Khoản vay được bảo đảm bằng một số tài sản của Cadivi bao gồm công trình nhà xưởng gắn liền với đất và máy móc thiết bị hình thành trong tương lai thuộc dự án thuộc Khu công nghiệp Tân Phú Trung > Quyền tài sản và lợi ích phát sinh từ “Dự án mở rộng nhà xưởng tại Khu công nghiệp Nhơn Trạch 3 và mua sắm thiết bị” của MEE > Máy móc thiết bị tại MEE"
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,4.722.637.779.439,546.300.861.389,,,,4722637779439.0,546300861389.0,,,
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,
Vay dài hạn đến hạn trả,Trong đó: > Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,584.548.012.038,141.148.321.980,,,,584548012038.0,141148321980.0,,,
Vay dài hạn,Trong đó: > Vay dài hạn,Vay dài hạn,4.138.089.767.401,405.152.539.409,,,,4138089767401.0,405152539409.0,,,
