row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Triệu VNDGiá trịcó thể thu hồi,Số cuối năm > Giá gốc_1,Số đầu năm > Triệu VNDGiá trịcó thể thu hồi,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Triệu VNDGiá trịcó thể thu hồi,numeric__Số cuối năm > Giá gốc_1,numeric__Số đầu năm > Triệu VNDGiá trịcó thể thu hồi
Phải thu một khách hàng doanh nghiệp,Phải thu một khách hàng doanh nghiệp,Phải thu một khách hàng doanh nghiệp,276.532,-,277.770,202.198,276532.0,,277770.0,202198.0
Khách hàng khác,Khách hàng khác,Khách hàng khác,332.603,145.725,732.300,585.473,332603.0,145725.0,732300.0,585473.0
,,,609.135,145.725,1.010.070,787.671,609135.0,145725.0,1010070.0,787671.0
Số trích lập dự phòng,Số trích lập dự phòng,Số trích lập dự phòng,,463.410,,222.399,,463410.0,,222399.0
