row_label_raw,row_label_full,Chỉ tiêu,Kinh doanh và chuyển nhượng bất động sản,Hoạt động cho thuê và các dịch vụ liên quan,Khác,Tổng,numeric__Kinh doanh và chuyển nhượng bất động sản,numeric__Hoạt động cho thuê và các dịch vụ liên quan,numeric__Khác,numeric__Tổng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,7.404.480,44.043.592,175.201,51.623.273,7404480.0,44043592.0,175201.0,51623273.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,,,,3.602.882,,,,3602882.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,,,,55.226.155,,,,55226155.0
Nợ phải trả bộ phận,Nợ phải trả bộ phận,Nợ phải trả bộ phận,4.514.160,2.802.057,93.187,7.409.404,4514160.0,2802057.0,93187.0,7409404.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,5.894.110,,,,5894110.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,,,,13.303.514,,,,13303514.0
Bằng cân đối kế toán hợp nhất tại ngày 31 tháng 12 năm 2023:,Bằng cân đối kế toán hợp nhất tại ngày 31 tháng 12 năm 2023:,Bằng cân đối kế toán hợp nhất tại ngày 31 tháng 12 năm 2023:,Bằng cân đối kế toán hợp nhất tại ngày 31 tháng 12 năm 2023:,Bằng cân đối kế toán hợp nhất tại ngày 31 tháng 12 năm 2023:,Bằng cân đối kế toán hợp nhất tại ngày 31 tháng 12 năm 2023:,Bằng cân đối kế toán hợp nhất tại ngày 31 tháng 12 năm 2023:,,,,
Chỉ tiêu,Chỉ tiêu,Chỉ tiêu,Kinh doanh và chuyển nhượng bất động sản,Hoạt động cho thuê và các dịch vụ liên quan,Khác,Tổng,,,,
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,
Tài sản,Tài sản,Tài sản,,,,,,,,
Tài sản bộ phận,Tài sản > Tài sản bộ phận,Tài sản bộ phận,981.477,41.045.682,277.972,42.305.131,981477.0,41045682.0,277972.0,42305131.0
Tài sản không phân bổ,Tài sản > Tài sản không phân bổ,Tài sản không phân bổ,,,,5.348.600,,,,5348600.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,,,,47.653.731,,,,47653731.0
Nợ phải trả bộ phận,Tài sản > Nợ phải trả bộ phận,Nợ phải trả bộ phận,1.238.136,2.538.612,154.968,3.931.716,1238136.0,2538612.0,154968.0,3931716.0
Nợ phải trả không phân bổ,Tài sản > Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,5.895.162,,,,5895162.0
Tổng nợ phải trả,Tài sản > Tổng nợ phải trả,Tổng nợ phải trả,,,,9.826.878,,,,9826878.0
