row_label_raw,row_label_full,Chỉ tiêu,Kinh doanh và chuyển nhượng bất động sản,Hoạt động cho thuê và các dịch vụ liên quan,Khác,Tổng,numeric__Kinh doanh và chuyển nhượng bất động sản,numeric__Hoạt động cho thuê và các dịch vụ liên quan,numeric__Khác,numeric__Tổng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,
Doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ,839.175,7.877.844,222.098,8.939.117,839175.0,7877844.0,222098.0,8939117.0
Giá vốn hàng bán và dịch vụ cung cấp,Giá vốn hàng bán và dịch vụ cung cấp,Giá vốn hàng bán và dịch vụ cung cấp,499.697,3.480.659,203.369,4.183.725,499697.0,3480659.0,203369.0,4183725.0
Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,339.478,4.397.185,18.729,4.755.392,339478.0,4397185.0,18729.0,4755392.0
Chỉ phí bán hàng,Chỉ phí bán hàng,Chỉ phí bán hàng,,,,341.019,,,,341019.0
Chỉ phí quản lý doanh nghiệp,Chỉ phí quản lý doanh nghiệp,Chỉ phí quản lý doanh nghiệp,,,,641.775,,,,641775.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,1.785.771,,,,1785771.0
Chỉ phí tài chính,Chỉ phí tài chính,Chỉ phí tài chính,,,,838.090,,,,838090.0
Lợi nhuận khác,Lợi nhuận khác,Lợi nhuận khác,,,,413.050,,,,413050.0
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,,,,5.133.329,,,,5133329.0
Chỉ phí thuế thu nhập doanh nghiệp,Chỉ phí thuế thu nhập doanh nghiệp,Chỉ phí thuế thu nhập doanh nghiệp,,,,1.037.549,,,,1037549.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,4.095.780,,,,4095780.0
