row_label_raw,row_label_full,col_0,"Nhà cửa, vật kiến trúc và quyền sử dụng đất","Máy móc, thiết bị",Tổng,"numeric__Nhà cửa, vật kiến trúc và quyền sử dụng đất","numeric__Máy móc, thiết bị",numeric__Tổng
,,,Triệu VND,Triệu VND,Triệu VND,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,28.691.145,6.491.290,35.182.435,28691145.0,6491290.0,35182435.0
Đầu tư xây dựng cơ bản hoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,2.483.391,529.732,3.013.123,2483391.0,529732.0,3013123.0
Mua mới trong năm,NGUYÊN GIÁ > Mua mới trong năm,Mua mới trong năm,12.288,295,12.583,12288.0,295.0,12583.0
Phân loại lại từ tài sản cố định hữu hình,NGUYÊN GIÁ > Phân loại lại từ tài sản cố định hữu hình,Phân loại lại từ tài sản cố định hữu hình,160.082,-,160.082,160082.0,,160082.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(2.433),(1.928),(4.361),-2433.0,-1928.0,-4361.0
Khác,NGUYÊN GIÁ > Khác,Khác,(9.859),-,(9.859),-9859.0,,-9859.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,31.334.614,7.019.389,38.354.003,31334614.0,7019389.0,38354003.0
GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,,,
Số dư đầu năm,GIÁ TRỊ HAO MÔN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,5.840.925,4.161.662,10.002.587,5840925.0,4161662.0,10002587.0
Khấu hao trong năm,GIÁ TRỊ HAO MÔN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,793.957,474.193,1.268.150,793957.0,474193.0,1268150.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÔN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(65),(1.066),(1.131),-65.0,-1066.0,-1131.0
Số dư cuối năm,GIÁ TRỊ HAO MÔN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,6.634.817,4.634.789,11.269.606,6634817.0,4634789.0,11269606.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,22.850.220,2.329.628,25.179.848,22850220.0,2329628.0,25179848.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,24.699.797,2.384.600,27.084.397,24699797.0,2384600.0,27084397.0
