row_label_raw,row_label_full,col_0,NGUỒN VỐN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__NGUỒN VỐN,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
C.,C.,C.,Nợ PHẢI TRẢ,300,,13.303.514,9.826.878,,300.0,,13303514.0,9826878.0
I.,I.,I.,Nợ ngắn hạn,310,,5.920.740,6.244.864,,310.0,,5920740.0,6244864.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,17,461.938,448.115,,311.0,17.0,461938.0,448115.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,18,184.770,314.342,,312.0,18.0,184770.0,314342.0
3.,3.,3.,Thuế và các khoản phải nộp Nhà nước,313,19,1.135.316,1.495.742,,313.0,19.0,1135316.0,1495742.0
4.,4.,4.,Phải trả người lao động,314,,245,279,,314.0,,245.0,279.0
5.,5.,5.,Chỉ phí phải trả ngắn hạn,315,20,1.123.855,973.708,,315.0,20.0,1123855.0,973708.0
6.,6.,6.,Doanh thu chưa thực hiện ngắn hạn,318,21,32.655,44.547,,318.0,21.0,32655.0,44547.0
7.,7.,7.,Phải trả ngắn hạn khác,319,22,968.841,1.170.222,,319.0,22.0,968841.0,1170222.0
8.,8.,8.,Vay và nợ thuê tài chính ngắn hạn,320,23,2.009.752,1.791.800,,320.0,23.0,2009752.0,1791800.0
9.,9.,9.,Dự phòng phải trả ngắn hạn,321,,1.812,3.428,,321.0,,1812.0,3428.0
10.,10.,10.,"Quỹ khen thưởng, phúc lợi",322,,1.556,2.681,,322.0,,1556.0,2681.0
II.,II.,II.,Nợ dài hạn,330,,7.382.774,3.582.014,,330.0,,7382774.0,3582014.0
1.,1.,1.,Doanh thu chưa thực hiện dài hạn,336,21,126.557,113.453,,336.0,21.0,126557.0,113453.0
2.,2.,2.,Phải trả dài hạn khác,337,22,4.663.323,1.253.137,,337.0,22.0,4663323.0,1253137.0
3.,3.,3.,Vay và nợ thuê tài chính dài hạn,338,24,2.523.103,2.143.780,,338.0,24.0,2523103.0,2143780.0
4.,4.,4.,Thuế thu nhập hoãn lại phải trả,341,25,69.791,71.644,,341.0,25.0,69791.0,71644.0
