row_label_raw,row_label_full,Chỉ tiêu,Kinh doanh và chuyển nhượng bất động sản,Hoạt động cho thuê và các dịch vụ liên quan,Khác,Tổng,numeric__Kinh doanh và chuyển nhượng bất động sản,numeric__Hoạt động cho thuê và các dịch vụ liên quan,numeric__Khác,numeric__Tổng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,
Doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ,1.771.587,7.796.476,223.272,9.791.335,1771587.0,7796476.0,223272.0,9791335.0
Giá vốn hàng bán và dịch vụ cung cấp,Giá vốn hàng bán và dịch vụ cung cấp,Giá vốn hàng bán và dịch vụ cung cấp,966.559,3.239.728,239.163,4.445.450,966559.0,3239728.0,239163.0,4445450.0
Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,805.028,4.556.748,(15.891),5.345.885,805028.0,4556748.0,-15891.0,5345885.0
Chỉ phí bán hàng,Chỉ phí bán hàng,Chỉ phí bán hàng,,,,341.268,,,,341268.0
Chỉ phí quản lý doanh nghiệp,Chỉ phí quản lý doanh nghiệp,Chỉ phí quản lý doanh nghiệp,,,,438.650,,,,438650.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,1.146.339,,,,1146339.0
Chỉ phí tài chính,Chỉ phí tài chính,Chỉ phí tài chính,,,,330.426,,,,330426.0
Lợi nhuận khác,Lợi nhuận khác,Lợi nhuận khác,,,,144.207,,,,144207.0
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,,,,5.526.087,,,,5526087.0
Chỉ phí thuế thu nhập doanh nghiệp,Chỉ phí thuế thu nhập doanh nghiệp,Chỉ phí thuế thu nhập doanh nghiệp,,,,1.117.279,,,,1117279.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,4.408.808,,,,4408808.0
