row_label_raw,row_label_full,col_0,col_1,Số đầu năm > Giá trị,Số đầu năm > Triệu VND Số có khả năng trả nợ,Trong năm > Tăng,Trong năm > Triệu VND Giảm,Số cuối năm > Giá trị,Số cuối năm > Triệu VND Số có khả năng trả nợ,numeric__col_1,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Triệu VND Số có khả năng trả nợ,numeric__Trong năm > Tăng,numeric__Trong năm > Triệu VND Giảm,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Triệu VND Số có khả năng trả nợ
Trái phiếu doanh nghiệp dài hạn đến hạn trả,Trái phiếu doanh nghiệp dài hạn đến hạn trả,Trái phiếu doanh nghiệp dài hạn đến hạn trả,Trái phiếu doanh nghiệp dài hạn đến hạn trả,-,-,1.988.427,-,1.988.427,1.988.427,,,,1988427.0,,1988427.0,1988427.0
Nợ thuê tài chính dài hạn đến hạn trả (Chi tiết tại thuyết minh số 24),Nợ thuê tài chính dài hạn đến hạn trả (Chi tiết tại thuyết minh số 24),Nợ thuê tài chính dài hạn đến hạn trả (Chi tiết tại thuyết minh số 24),Nợ thuê tài chính dài hạn đến hạn trả (Chi tiết tại thuyết minh số 24),19.887,19.887,22.835,21.397,21.325,21.325,,19887.0,19887.0,22835.0,21397.0,21325.0,21325.0
Khoản vay hợp vốn ngắn hạn,Khoản vay hợp vốn ngắn hạn,Khoản vay hợp vốn ngắn hạn,Khoản vay hợp vốn ngắn hạn,1.771.913,1.771.913,-,1.771.913,-,-,,1771913.0,1771913.0,,1771913.0,,
,,,,1.791.800,1.791.800,2.011.262,1.793.310,2.009.752,2.009.752,,1791800.0,1791800.0,2011262.0,1793310.0,2009752.0,2009752.0
Chi tiết các khoản trái phiếu như sau:,Chi tiết các khoản trái phiếu như sau:,Chi tiết các khoản trái phiếu như sau:,Chi tiết các khoản trái phiếu như sau:,Chi tiết các khoản trái phiếu như sau:,Chi tiết các khoản trái phiếu như sau:,Chi tiết các khoản trái phiếu như sau:,Chi tiết các khoản trái phiếu như sau:,Chi tiết các khoản trái phiếu như sau:,Chi tiết các khoản trái phiếu như sau:,,,,,,,
STT,STT,STT,Đơn vị tư vấn phát hành,Số tiền,Kỳ hạn gốc và trả lãi,Kỳ hạn gốc và trả lãi,Lãi suất,Lãi suất,Hình thức đảm bảo,,,,,,,
STT,STT,STT,Đơn vị tư vấn phát hành,Triệu VND,,,,,,,,,,,,
1,STT > 1,1,Công ty Cổ phần chứng khoán Kỹ thương,1.988.427,,,,,,,1988427.0,,,,,
1,STT > 1,1,Trái phiếu chào bán ra công chúng mã BONDVCR042025,1.988.427,- Nợ gốc trả 1 lần tại thời điểm cuối kỳ hạn vào ngày 25 tháng 8 năm 2025;- Trả lãi: Theo kỳ trả nợ lãi 3 tháng/ lần,- Nợ gốc trả 1 lần tại thời điểm cuối kỳ hạn vào ngày 25 tháng 8 năm 2025;- Trả lãi: Theo kỳ trả nợ lãi 3 tháng/ lần,"Lãi suất thả nổi, lãi suất trong năm từ 9,38%/năm đến 9,78%/năm","Lãi suất thả nổi, lãi suất trong năm từ 9,38%/năm đến 9,78%/năm",(i),,1988427.0,,,,,
1,STT > 1,1,Trái phiếu chào bán ra công chúng mã BONDVCR042025,1.988.427,- Nợ gốc trả 1 lần tại thời điểm cuối kỳ hạn vào ngày 25 tháng 8 năm 2025;- Trả lãi: Theo kỳ trả nợ lãi 3 tháng/ lần,- Nợ gốc trả 1 lần tại thời điểm cuối kỳ hạn vào ngày 25 tháng 8 năm 2025;- Trả lãi: Theo kỳ trả nợ lãi 3 tháng/ lần,"Lãi suất thả nổi, lãi suất trong năm từ 9,38%/năm đến 9,78%/năm","Lãi suất thả nổi, lãi suất trong năm từ 9,38%/năm đến 9,78%/năm",(i),,1988427.0,,,,,
1,STT > 1,1,Trái phiếu chào bán ra công chúng mã BONDVCR042025,1.988.427,- Nợ gốc trả 1 lần tại thời điểm cuối kỳ hạn vào ngày 25 tháng 8 năm 2025;- Trả lãi: Theo kỳ trả nợ lãi 3 tháng/ lần,- Nợ gốc trả 1 lần tại thời điểm cuối kỳ hạn vào ngày 25 tháng 8 năm 2025;- Trả lãi: Theo kỳ trả nợ lãi 3 tháng/ lần,"Lãi suất thả nổi, lãi suất trong năm từ 9,38%/năm đến 9,78%/năm","Lãi suất thả nổi, lãi suất trong năm từ 9,38%/năm đến 9,78%/năm",(i),,1988427.0,,,,,
