row_label_raw,row_label_full,Tài sản cố định hữu hình (tiếp theo),Tài sản cố định hữu hình (tiếp theo)_1,Tài sản cố định hữu hình (tiếp theo)_2,Tài sản cố định hữu hình (tiếp theo)_3,Tài sản cố định hữu hình (tiếp theo)_4,Tài sản cố định hữu hình (tiếp theo)_5,numeric__Tài sản cố định hữu hình (tiếp theo)_1,numeric__Tài sản cố định hữu hình (tiếp theo)_2,numeric__Tài sản cố định hữu hình (tiếp theo)_3,numeric__Tài sản cố định hữu hình (tiếp theo)_4,numeric__Tài sản cố định hữu hình (tiếp theo)_5
Năm kết thúc ngày 31 tháng 12 năm 2023,Năm kết thúc ngày 31 tháng 12 năm 2023,Năm kết thúc ngày 31 tháng 12 năm 2023,"Nhà cửa,vật kiến trúcTriệu VND","Máy móc,thiết bịTriệu VND",Phương tiệnvận chuyểnTriệu VND,KhácTriệu VND,Tổng cộngTriệu VND,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,3.389.122,2.931.360,773.601,324.700,7.418.783,3389122.0,2931360.0,773601.0,324700.0,7418783.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,1.641,48.799,60.874,5.061,116.375,1641.0,48799.0,60874.0,5061.0,116375.0
Chuyển từ xây dựng cơ bản dở dang (Thuyết minh 14(a)(i)),Nguyên giá > Chuyển từ xây dựng cơ bản dở dang (Thuyết minh 14(a)(i)),Chuyển từ xây dựng cơ bản dở dang (Thuyết minh 14(a)(i)),64.625,414.677,20.643,16.774,516.719,64625.0,414677.0,20643.0,16774.0,516719.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(7.966),(80.872),(43.042),(6.233),(138.113),-7966.0,-80872.0,-43042.0,-6233.0,-138113.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,3.447.422,3.313.964,812.076,340.302,7.913.764,3447422.0,3313964.0,812076.0,340302.0,7913764.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,787.873,1.726.667,406.298,162.186,3.083.024,787873.0,1726667.0,406298.0,162186.0,3083024.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,143.923,444.724,136.992,84.250,809.889,143923.0,444724.0,136992.0,84250.0,809889.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(4.046),(78.282),(43.042),(5.788),(131.158),-4046.0,-78282.0,-43042.0,-5788.0,-131158.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,927.750,2.093.109,500.248,240.648,3.761.755,927750.0,2093109.0,500248.0,240648.0,3761755.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,2.601.249,1.204.693,367.303,162.514,4.335.759,2601249.0,1204693.0,367303.0,162514.0,4335759.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,2.519.672,1.220.855,311.828,99.654,4.152.009,2519672.0,1220855.0,311828.0,99654.0,4152009.0
