row_label_raw,row_label_full,col_0,Vốn điều lệTriệu VND,Vốn đầu tưXDCB vàmua sắmTSCĐTriệu VND,Thặng dưvốncổ phầnTriệu VND,VốnkhácTriệu VND,Quỹdự phòngtài chínhTriệu VND,Quỹ dự trữbố sungvốn điều lệTriệu VND,Quỹđầu tưphát triểnTriệu VND,Chênh lệchty giáhối đoáiTriệu VND,Lợi nhuậnchưaphân phốiTriệu VND,TổngTriệu VND,numeric__Vốn điều lệTriệu VND,numeric__Vốn đầu tưXDCB vàmua sắmTSCĐTriệu VND,numeric__Thặng dưvốncổ phầnTriệu VND,numeric__VốnkhácTriệu VND,numeric__Quỹdự phòngtài chínhTriệu VND,numeric__Quỹ dự trữbố sungvốn điều lệTriệu VND,numeric__Quỹđầu tưphát triểnTriệu VND,numeric__Chênh lệchty giáhối đoáiTriệu VND,numeric__Lợi nhuậnchưaphân phốiTriệu VND,numeric__TổngTriệu VND
Số dư tại ngày1 tháng 1 năm 2024,Số dư tại ngày1 tháng 1 năm 2024,Số dư tại ngày1 tháng 1 năm 2024,18.852.157,1.121,1.747.651,653,2.862.765,1.629.272,83.479,118.046,19.661.838,44.956.982,18852157.0,1121.0,1747651.0,653.0,2862765.0,1629272.0,83479.0,118046.0,19661838.0,44956982.0
Lợi nhuận thuần trong nămTrích lập các quỹ dự trữbắt buộc cho năm trướcTrích lập quỹ khenthường và phúc lợi(Thuyết minh 19(b)(i)),Lợi nhuận thuần trong nămTrích lập các quỹ dự trữbắt buộc cho năm trướcTrích lập quỹ khenthường và phúc lợi(Thuyết minh 19(b)(i)),Lợi nhuận thuần trong nămTrích lập các quỹ dự trữbắt buộc cho năm trướcTrích lập quỹ khenthường và phúc lợi(Thuyết minh 19(b)(i)),-,-,-,-,-,-,-,-,10.016.099,10.016.099,,,,,,,,,10016099.0,10016099.0
Lợi nhuận thuần trong nămTrích lập các quỹ dự trữbắt buộc cho năm trướcTrích lập quỹ khenthường và phúc lợi(Thuyết minh 19(b)(i)),Lợi nhuận thuần trong nămTrích lập các quỹ dự trữbắt buộc cho năm trướcTrích lập quỹ khenthường và phúc lợi(Thuyết minh 19(b)(i)),Lợi nhuận thuần trong nămTrích lập các quỹ dự trữbắt buộc cho năm trướcTrích lập quỹ khenthường và phúc lợi(Thuyết minh 19(b)(i)),-,-,-,-,709.589,373.468,-,-,(1.083.057),-,,,,,709589.0,373468.0,,,-1083057.0,
Lợi nhuận thuần trong nămTrích lập các quỹ dự trữbắt buộc cho năm trướcTrích lập quỹ khenthường và phúc lợi(Thuyết minh 19(b)(i)),Lợi nhuận thuần trong nămTrích lập các quỹ dự trữbắt buộc cho năm trướcTrích lập quỹ khenthường và phúc lợi(Thuyết minh 19(b)(i)),Lợi nhuận thuần trong nămTrích lập các quỹ dự trữbắt buộc cho năm trướcTrích lập quỹ khenthường và phúc lợi(Thuyết minh 19(b)(i)),-,-,-,-,-,-,-,-,(882.551),(882.551),,,,,,,,,-882551.0,-882551.0
Số dư tại ngày31 tháng 12 năm 2024,Số dư tại ngày31 tháng 12 năm 2024,Số dư tại ngày31 tháng 12 năm 2024,18.852.157,1.121,1.747.651,653,3.572.354,2.002.740,83.479,118.046,27.712.329,54.090.530,18852157.0,1121.0,1747651.0,653.0,3572354.0,2002740.0,83479.0,118046.0,27712329.0,54090530.0
Số dư tại ngày 1 tháng 1năm 2023,Số dư tại ngày 1 tháng 1năm 2023,Số dư tại ngày 1 tháng 1năm 2023,18.852.157,1.121,1.747.651,653,2.415.830,1.394.043,83.479,118.046,13.395.134,38.008.114,18852157.0,1121.0,1747651.0,653.0,2415830.0,1394043.0,83479.0,118046.0,13395134.0,38008114.0
Lợi nhuận thuần trong nămTrích lập các quỹ dự trữbắt buộc cho năm trướcTrích lập quỹ khenthường và phúc lợi(Thuyết minh 19(b)(i)),Lợi nhuận thuần trong nămTrích lập các quỹ dự trữbắt buộc cho năm trướcTrích lập quỹ khenthường và phúc lợi(Thuyết minh 19(b)(i)),Lợi nhuận thuần trong nămTrích lập các quỹ dự trữbắt buộc cho năm trướcTrích lập quỹ khenthường và phúc lợi(Thuyết minh 19(b)(i)),-,-,-,-,-,-,-,-,7.469.356,7.469.356,,,,,,,,,7469356.0,7469356.0
Lợi nhuận thuần trong nămTrích lập các quỹ dự trữbắt buộc cho năm trướcTrích lập quỹ khenthường và phúc lợi(Thuyết minh 19(b)(i)),Lợi nhuận thuần trong nămTrích lập các quỹ dự trữbắt buộc cho năm trướcTrích lập quỹ khenthường và phúc lợi(Thuyết minh 19(b)(i)),Lợi nhuận thuần trong nămTrích lập các quỹ dự trữbắt buộc cho năm trướcTrích lập quỹ khenthường và phúc lợi(Thuyết minh 19(b)(i)),-,-,-,-,446.935,235.229,-,-,(682.164),-,,,,,446935.0,235229.0,,,-682164.0,
Lợi nhuận thuần trong nămTrích lập các quỹ dự trữbắt buộc cho năm trướcTrích lập quỹ khenthường và phúc lợi(Thuyết minh 19(b)(i)),Lợi nhuận thuần trong nămTrích lập các quỹ dự trữbắt buộc cho năm trướcTrích lập quỹ khenthường và phúc lợi(Thuyết minh 19(b)(i)),Lợi nhuận thuần trong nămTrích lập các quỹ dự trữbắt buộc cho năm trướcTrích lập quỹ khenthường và phúc lợi(Thuyết minh 19(b)(i)),-,-,-,-,-,-,-,-,(520.488),(520.488),,,,,,,,,-520488.0,-520488.0
Số dư tại ngày 31 tháng12 năm 2023,Số dư tại ngày 31 tháng12 năm 2023,Số dư tại ngày 31 tháng12 năm 2023,18.852.157,1.121,1.747.651,653,2.862.765,1.629.272,83.479,118.046,19.661.838,44.956.982,18852157.0,1121.0,1747651.0,653.0,2862765.0,1629272.0,83479.0,118046.0,19661838.0,44956982.0
