row_label_raw,row_label_full,col_0,31/12/2024 > Giá trị ghi sốTriệu VND,31/12/2024 > Giá trịhợp lýTriệu VND,31/12/2023 > Giá trị ghi sốTriệu VND,31/12/2023 > Giá trịhợp lýTriệu VND,numeric__31/12/2024 > Giá trị ghi sốTriệu VND,numeric__31/12/2024 > Giá trịhợp lýTriệu VND,numeric__31/12/2023 > Giá trị ghi sốTriệu VND,numeric__31/12/2023 > Giá trịhợp lýTriệu VND
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,,,
Tiền mặt và vàng,Tài sản tài chính > Tiền mặt và vàng,Tiền mặt và vàng,7.948.136,7.948.136,7.256.184,7.256.184,7948136.0,7948136.0,7256184.0,7256184.0
Tiền gửi tại NHNNVN,Tài sản tài chính > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,15.773.101,15.773.101,11.411.883,11.411.883,15773101.0,15773101.0,11411883.0,11411883.0
Tiền gửi và cho vay các TCTD khác,Tài sản tài chính > Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,92.252.625,(*),53.778.903,(*),92252625.0,,53778903.0,
Cho vay khách hàng – thuần,Tài sản tài chính > Cho vay khách hàng – thuần,Cho vay khách hàng – thuần,518.699.691,(*),465.251.667,(*),518699691.0,,465251667.0,
Chứng khoán sẵn sàng để bán – thuần,Tài sản tài chính > Chứng khoán sẵn sàng để bán – thuần,Chứng khoán sẵn sàng để bán – thuần,23.532.890,(*),22.538.306,(*),23532890.0,,22538306.0,
Chứng khoán giữ đến ngày đáo hạn – thuần,Tài sản tài chính > Chứng khoán giữ đến ngày đáo hạn – thuần,Chứng khoán giữ đến ngày đáo hạn – thuần,62.105.338,(*),52.086.096,(*),62105338.0,,52086096.0,
Đầu tư dài hạn khác,Tài sản tài chính > Đầu tư dài hạn khác,Đầu tư dài hạn khác,82.204,(*),82.642,(*),82204.0,,82642.0,
Tài sản tài chính khác – thuần,Tài sản tài chính > Tài sản tài chính khác – thuần,Tài sản tài chính khác – thuần,8.825.271,(*),42.831.986,(*),8825271.0,,42831986.0,
,,,729.219.256,,655.237.667,,729219256.0,,655237667.0,
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,,,
Các khoản nợ NHNNVN,Nợ phải trả tài chính > Các khoản nợ NHNNVN,Các khoản nợ NHNNVN,54.255,(*),19.328,(*),54255.0,,19328.0,
Tiền gửi và vay các TCTD khác,Nợ phải trả tài chính > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,71.580.613,(*),38.926.188,(*),71580613.0,,38926188.0,
Tiền gửi của khách hàng,Nợ phải trả tài chính > Tiền gửi của khách hàng,Tiền gửi của khách hàng,561.741.401,(*),506.435.603,(*),561741401.0,,506435603.0,
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả tài chính > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,54.007,(*),91.459,(*),54007.0,,91459.0,
Phát hành giấy tờ có giá,Nợ phải trả tài chính > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,36.753.523,(*),28.992.491,(*),36753523.0,,28992491.0,
Các khoản nợ tài chính khác,Nợ phải trả tài chính > Các khoản nợ tài chính khác,Các khoản nợ tài chính khác,11.475.120,(*),44.767.114,(*),11475120.0,,44767114.0,
,,,681.658.919,,619.232.183,,681658919.0,,619232183.0,
