row_label_raw,row_label_full,col_0,col_1,2024Triệu VND,2023Triệu VND,numeric__col_1,numeric__2024Triệu VND,numeric__2023Triệu VND
,,,,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,
01,01,01,Mua sắm tài sản cố định,(926.941),(1.253.642),,-926941.0,-1253642.0
02,02,02,"Tiền thu từ thanh lý, nhượng bán tài sản cố định",2.748,9.921,,2748.0,9921.0
07,07,07,"Tiền chi đầu tư, góp vốn vào đơn vị khác",(300.000),(46.360),,-300000.0,-46360.0
08,08,08,"Tiền thu đầu tư, góp vốn vào các đơn vị khác",372,-,,372.0,
09,09,09,"Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn",303.435,297.848,,303435.0,297848.0
II,II,II,LU'U CHUYÊN TIÊN THUÀN TỪ HOẠT ĐỘNG ĐẦU TƯ,(920.386),(992.233),,-920386.0,-992233.0
02,02,02,Tiền thu từ phát hành giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,1.809.625,-,,1809625.0,
03,03,03,Tiền chi thanh toán giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,(3.268.898),(37.078),,-3268898.0,-37078.0
04,04,04,Cổ tức trả cho cổ đông,(2),(25),,-2.0,-25.0
III,III,III,LU'U CHUYÊN TIÊN THUÀN TỪ HOẠT ĐỘNG TÀI CHÍNH,(1.459.275),(37.103),,-1459275.0,-37103.0
IV,IV,IV,LU'U CHUYÊN TIÊN THUÀN TRONG NĂM,35.704.848,25.060.169,,35704848.0,25060169.0
V,V,V,TIỀN VÀ CÁC KHOÀN TƯƠNG ĐƯƠNG TIỀN ĐẦU NĂM,68.576.970,43.516.801,,68576970.0,43516801.0
VI,VI,VI,ẢNH HƯỞNG CỦA THAY ĐỒI TỶ GIÁ,-,-,,,
VII,VI > VII,VII,TIỀN VÀ CÁC KHOÀN TƯƠNG ĐƯƠNG TIỀN CUỐI NĂM (THUYẾT MINH 31),104.281.818,68.576.970,,104281818.0,68576970.0
