row_label_raw,row_label_full,Năm kết thúc ngày 31 tháng 12 năm 2023,Khu vựcMiền BắcTriệu VND,Khu vựcMiền TrungTriệu VND,Khu vựcMiền NamTriệu VND,Tổng bộ phậnđã báo cáoTriệu VND,Loại trừTriệu VND,Tổng cộngTriệu VND,numeric__Khu vựcMiền BắcTriệu VND,numeric__Khu vựcMiền TrungTriệu VND,numeric__Khu vựcMiền NamTriệu VND,numeric__Tổng bộ phậnđã báo cáoTriệu VND,numeric__Loại trừTriệu VND,numeric__Tổng cộngTriệu VND
Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,10.414.399(7.670.243),10.283.806(6.264.181),53.391.889(38.718.203),74.090.094(52.652.627),(19.017.175)19.017.175,55.072.919(33.635.452),,,,,,
Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,10.414.399(7.670.243),10.283.806(6.264.181),53.391.889(38.718.203),74.090.094(52.652.627),(19.017.175)19.017.175,55.072.919(33.635.452),,,,,,
Thu nhập lãi thuần,Chi phí lãi và các chi phí tương tự > Thu nhập lãi thuần,Thu nhập lãi thuần,2.744.156,4.019.625,14.673.686,21.437.467,-,21.437.467,2744156.0,4019625.0,14673686.0,21437467.0,,21437467.0
Các khoản thu nhập ngoài lãi,Chi phí lãi và các chi phí tương tự > Các khoản thu nhập ngoài lãi,Các khoản thu nhập ngoài lãi,223.346,161.721,3.701.209,4.086.276,-,4.086.276,223346.0,161721.0,3701209.0,4086276.0,,4086276.0
TỔNG THU NHẬP HOẠT ĐỘNG,Chi phí lãi và các chi phí tương tự > TỔNG THU NHẬP HOẠT ĐỘNG,TỔNG THU NHẬP HOẠT ĐỘNG,2.967.502,4.181.346,18.374.895,25.523.743,-,25.523.743,2967502.0,4181346.0,18374895.0,25523743.0,,25523743.0
TỔNG CHI PHỊ HOẠT ĐỘNG,Chi phí lãi và các chi phí tương tự > TỔNG CHI PHỊ HOẠT ĐỘNG,TỔNG CHI PHỊ HOẠT ĐỘNG,(1.129.461),(983.324),(10.342.199),(12.454.984),-,(12.454.984),-1129461.0,-983324.0,-10342199.0,-12454984.0,,-12454984.0
Lợi nhuận thuần tử hoạt động kinh doanh trướcchi phí dự phòng rủi ro tín dụng,Chi phí lãi và các chi phí tương tự > Lợi nhuận thuần tử hoạt động kinh doanh trướcchi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần tử hoạt động kinh doanh trướcchi phí dự phòng rủi ro tín dụng,1.838.041,3.198.022,8.032.696,13.068.759,-,13.068.759,1838041.0,3198022.0,8032696.0,13068759.0,,13068759.0
Chi phí dự phòng rủi ro tín dụng,Chi phí lãi và các chi phí tương tự > Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,-,-,(3.785.444),(3.785.444),-,(3.785.444),,,-3785444.0,-3785444.0,,-3785444.0
TỔNG LỢI NHUẬN TRƯỚC THUẾ,Chi phí lãi và các chi phí tương tự > TỔNG LỢI NHUẬN TRƯỚC THUẾ,TỔNG LỢI NHUẬN TRƯỚC THUẾ,1.838.041,3.198.022,4.247.252,9.283.315,-,9.283.315,1838041.0,3198022.0,4247252.0,9283315.0,,9283315.0
Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,,,,,,
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,
"Tiền mặt, vàng bạc, đá quỹ","Tài sản > Tiền mặt, vàng bạc, đá quỹ","Tiền mặt, vàng bạc, đá quỹ",1.018.445,1.009.752,5.227.987,7.256.184,-,7.256.184,1018445.0,1009752.0,5227987.0,7256184.0,,7256184.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,222.085,491.433,10.698.365,11.411.883,-,11.411.883,222085.0,491433.0,10698365.0,11411883.0,,11411883.0
Tiền gửi tại và cho vay các TCTD khác – thuần,Tài sản > Tiền gửi tại và cho vay các TCTD khác – thuần,Tiền gửi tại và cho vay các TCTD khác – thuần,13.966,769,53.764.168,53.778.903,-,53.778.903,13966.0,769.0,53764168.0,53778903.0,,53778903.0
Cho vay khách hàng – thuần,Tài sản > Cho vay khách hàng – thuần,Cho vay khách hàng – thuần,68.153.032,83.011.254,314.087.381,465.251.667,-,465.251.667,68153032.0,83011254.0,314087381.0,465251667.0,,465251667.0
Chứng khoán đầu tư – thuần,Tài sản > Chứng khoán đầu tư – thuần,Chứng khoán đầu tư – thuần,-,-,77.900.781,77.900.781,-,77.900.781,,,77900781.0,77900781.0,,77900781.0
Tải sản Cỏ khác,Tài sản > Tải sản Cỏ khác,Tải sản Cỏ khác,2.529.750,1.369.875,49.993.368,53.892.993,(562.749),53.330.244,2529750.0,1369875.0,49993368.0,53892993.0,-562749.0,53330244.0
TỔNG TÀI SẢN,Tài sản > TỔNG TÀI SẢN,TỔNG TÀI SẢN,71.937.278,85.883.083,511.672.050,669.492.411,(562.749),668.929.662,71937278.0,85883083.0,511672050.0,669492411.0,-562749.0,668929662.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,
Các khoản nợ NHNNVN,Nợ phải trả > Các khoản nợ NHNNVN,Các khoản nợ NHNNVN,-,-,19.328,19.328,-,19.328,,,19328.0,19328.0,,19328.0
