row_label_raw,row_label_full,Chi phí thuế thu nhập hiện hành,Chi phí thuế thu nhập hiện hành_1,Chi phí thuế thu nhập hiện hành_2,numeric__Chi phí thuế thu nhập hiện hành_1,numeric__Chi phí thuế thu nhập hiện hành_2
,,,2024Triệu VND,2023Triệu VND,,
Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,12.558.668,9.283.315,12558668.0,9283315.0
Thuế tính theo thuế suất của Ngân hàng,Thuế tính theo thuế suất của Ngân hàng,Thuế tính theo thuế suất của Ngân hàng,2.511.734,1.856.663,2511734.0,1856663.0
Chi phí không được khấu trừ thuế,Chi phí không được khấu trừ thuế,Chi phí không được khấu trừ thuế,257.650,159.743,257650.0,159743.0
Thu nhập không bị tính thuế,Thu nhập không bị tính thuế,Thu nhập không bị tính thuế,(60.687),(71.310),-60687.0,-71310.0
Thuế thu nhập doanh nghiệp bổ sung cho các năm trước,Thuế thu nhập doanh nghiệp bổ sung cho các năm trước,Thuế thu nhập doanh nghiệp bổ sung cho các năm trước,2.591,10.321,2591.0,10321.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,2.711.288,1.955.417,2711288.0,1955417.0
