row_label_raw,row_label_full,Ông Dương Công Minh,Chủ tịch,numeric__Chủ tịch
Bà Nguyễn Đức Thạch Diễm,Bà Nguyễn Đức Thạch Diễm,Bà Nguyễn Đức Thạch Diễm,Phó Chủ tịch thường trực,
Ông Phạm Văn Phong,Ông Phạm Văn Phong,Ông Phạm Văn Phong,Phó Chủ tịch,
Ông Nguyễn Xuân Vũ,Ông Nguyễn Xuân Vũ,Ông Nguyễn Xuân Vũ,Thành viên,
Ông Phan Đình Tuệ,Ông Phan Đình Tuệ,Ông Phan Đình Tuệ,Thành viên,
Ông Vương Công Đức,Ông Vương Công Đức,Ông Vương Công Đức,Thành viên độc lập,
Bà Phạm Thị Thu Hằng,Bà Phạm Thị Thu Hằng,Bà Phạm Thị Thu Hằng,Thành viên độc lập,
