row_label_raw,row_label_full,Năm kết thúcngày 31 tháng 12 năm 2024,Phát sinh trong năm > Số dưđầu nămTriệu VND,Phát sinh trong năm > Số phải nộpTriệu VND,Phát sinh trong năm > Số đã nộp/cấn trừTriệu VND,Phát sinh trong năm > Số dưcuối nămTriệu VND,numeric__Phát sinh trong năm > Số dưđầu nămTriệu VND,numeric__Phát sinh trong năm > Số phải nộpTriệu VND,numeric__Phát sinh trong năm > Số đã nộp/cấn trừTriệu VND,numeric__Phát sinh trong năm > Số dưcuối nămTriệu VND
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,928.006,2.711.288,(2.466.408),1.172.886,928006.0,2711288.0,-2466408.0,1172886.0
Thuế giá trị gia tăng,Thuế giá trị gia tăng,Thuế giá trị gia tăng,60.313,640.865,(647.744),53.434,60313.0,640865.0,-647744.0,53434.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,56.703,626.446,(625.424),57.725,56703.0,626446.0,-625424.0,57725.0
,,,1.045.022,3.978.599,(3.739.576),1.284.045,1045022.0,3978599.0,-3739576.0,1284045.0
Năm kết thúcngày 31 tháng 12 năm 2023,Năm kết thúcngày 31 tháng 12 năm 2023,Năm kết thúcngày 31 tháng 12 năm 2023,Phát sinh trong năm,Phát sinh trong năm,Phát sinh trong năm,Phát sinh trong năm,,,,
Năm kết thúcngày 31 tháng 12 năm 2023,Năm kết thúcngày 31 tháng 12 năm 2023,Năm kết thúcngày 31 tháng 12 năm 2023,Số dưđầu nămTriệu VND,Số phải nộpTriệu VND,Số đãnộp/cấn trừTriệu VND,Số dưcuối nămTriệu VND,,,,
Thuế thu nhập doanh nghiệp,Năm kết thúcngày 31 tháng 12 năm 2023 > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,103.220,1.955.417,(1.130.631),928.006,103220.0,1955417.0,-1130631.0,928006.0
Thuế giá trị gia tăng,Năm kết thúcngày 31 tháng 12 năm 2023 > Thuế giá trị gia tăng,Thuế giá trị gia tăng,131.599,507.641,(578.927),60.313,131599.0,507641.0,-578927.0,60313.0
Các loại thuế khác,Năm kết thúcngày 31 tháng 12 năm 2023 > Các loại thuế khác,Các loại thuế khác,67.471,666.317,(677.085),56.703,67471.0,666317.0,-677085.0,56703.0
,,,302.290,3.129.375,(2.386.643),1.045.022,302290.0,3129375.0,-2386643.0,1045022.0
