row_label_raw,row_label_full,Giao dịch phát sinh trong năm,2024Triệu VNDThu nhập/(chi phí),2023Triệu VND,numeric__2024Triệu VNDThu nhập/(chi phí),numeric__2023Triệu VND
Các công ty con,Các công ty con,Các công ty con,Các công ty con,Các công ty con,,
Thu nhập lãi cho vay/tiền gửi,Các công ty con > Thu nhập lãi cho vay/tiền gửi,Thu nhập lãi cho vay/tiền gửi,190.523,189.032,190523.0,189032.0
Chi phí lãi tiền vay/tiền gửi,Các công ty con > Chi phí lãi tiền vay/tiền gửi,Chi phí lãi tiền vay/tiền gửi,(39.835),(65.164),-39835.0,-65164.0
Thu nhập từ hoạt động dịch vụ,Các công ty con > Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,18.126,13.758,18126.0,13758.0
Chi phí hoạt động dịch vụ,Các công ty con > Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,(38.438),(27.017),-38438.0,-27017.0
Chi phí hoạt động kinh doanh ngoại hồi,Các công ty con > Chi phí hoạt động kinh doanh ngoại hồi,Chi phí hoạt động kinh doanh ngoại hồi,(12.948),(8.035),-12948.0,-8035.0
Thu nhập từ cổ tức,Các công ty con > Thu nhập từ cổ tức,Thu nhập từ cổ tức,300.000,276.630,300000.0,276630.0
Thu nhập từ hoạt động khác,Các công ty con > Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,7.176,4.782,7176.0,4782.0
Chi tiền vốn góp,Các công ty con > Chi tiền vốn góp,Chi tiền vốn góp,300.000,,300000.0,
Các Thành viên của Ban lãnh đạo Ngân hàng,Các Thành viên của Ban lãnh đạo Ngân hàng,Các Thành viên của Ban lãnh đạo Ngân hàng,Các Thành viên của Ban lãnh đạo Ngân hàng,Các Thành viên của Ban lãnh đạo Ngân hàng,,
Thu lãi cho vay,Các Thành viên của Ban lãnh đạo Ngân hàng > Thu lãi cho vay,Thu lãi cho vay,2.654,,2654.0,
Chi phí lãi tiền gửi,Các Thành viên của Ban lãnh đạo Ngân hàng > Chi phí lãi tiền gửi,Chi phí lãi tiền gửi,(12.087),(21.178),-12087.0,-21178.0
Thu nhập từ hoạt động dịch vụ,Các Thành viên của Ban lãnh đạo Ngân hàng > Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,62,32,62.0,32.0
Thù lao sau thuế của Thành viên Hội đồng Quản trị,Các Thành viên của Ban lãnh đạo Ngân hàng > Thù lao sau thuế của Thành viên Hội đồng Quản trị,Thù lao sau thuế của Thành viên Hội đồng Quản trị,(32.550),(29.900),-32550.0,-29900.0
Thù lao sau thuế của Thành viên Ban Kiểm soát,Các Thành viên của Ban lãnh đạo Ngân hàng > Thù lao sau thuế của Thành viên Ban Kiểm soát,Thù lao sau thuế của Thành viên Ban Kiểm soát,(14.875),(14.663),-14875.0,-14663.0
Thu nhập sau thuế của Thành viên Ban Tổng Giám đốc,Các Thành viên của Ban lãnh đạo Ngân hàng > Thu nhập sau thuế của Thành viên Ban Tổng Giám đốc,Thu nhập sau thuế của Thành viên Ban Tổng Giám đốc,(55.054),(68.917),-55054.0,-68917.0
Các bên liên quan đến các Thành viên của Ban lãnh đạo Ngân hàng,Các bên liên quan đến các Thành viên của Ban lãnh đạo Ngân hàng,Các bên liên quan đến các Thành viên của Ban lãnh đạo Ngân hàng,Các bên liên quan đến các Thành viên của Ban lãnh đạo Ngân hàng,Các bên liên quan đến các Thành viên của Ban lãnh đạo Ngân hàng,,
Cho vay đã nhận về,Các bên liên quan đến các Thành viên của Ban lãnh đạo Ngân hàng > Cho vay đã nhận về,Cho vay đã nhận về,3.848.495,231.758,3848495.0,231758.0
Thu nhập lãi cho vay/tiền gửi,Các bên liên quan đến các Thành viên của Ban lãnh đạo Ngân hàng > Thu nhập lãi cho vay/tiền gửi,Thu nhập lãi cho vay/tiền gửi,311.870,327.765,311870.0,327765.0
Chi phí trả lãi tiền gửi/tiền vay,Các bên liên quan đến các Thành viên của Ban lãnh đạo Ngân hàng > Chi phí trả lãi tiền gửi/tiền vay,Chi phí trả lãi tiền gửi/tiền vay,(12.809),(17.492),-12809.0,-17492.0
Thu nhập từ hoạt động dịch vụ,Các bên liên quan đến các Thành viên của Ban lãnh đạo Ngân hàng > Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,7.007,15.777,7007.0,15777.0
Chi phí từ hoạt động dịch vụ,Các bên liên quan đến các Thành viên của Ban lãnh đạo Ngân hàng > Chi phí từ hoạt động dịch vụ,Chi phí từ hoạt động dịch vụ,,(40),,-40.0
Chi phí khác,Các bên liên quan đến các Thành viên của Ban lãnh đạo Ngân hàng > Chi phí khác,Chi phí khác,(3.165),(2.485),-3165.0,-2485.0
