row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023 > Quá hạnTriệu VND,Tại ngày 31 tháng 12 năm 2023 > Không chịu lãiTriệu VND,Tại ngày 31 tháng 12 năm 2023 > Dưới1 thángTriệu VND,Tại ngày 31 tháng 12 năm 2023 > Từ 1 đến3 thángTriệu VND,Tại ngày 31 tháng 12 năm 2023 > Từ trên 3đến 6thángTriệu VND,Tại ngày 31 tháng 12 năm 2023 > Từ trên 6đến 12thángTriệu VND,Tại ngày 31 tháng 12 năm 2023 > Từ trên 1đến 5 nămTriệu VND,Tại ngày 31 tháng 12 năm 2023 > Trên 5 nămTriệu VND,Tại ngày 31 tháng 12 năm 2023 > Tổng cộngTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2023 > Quá hạnTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2023 > Không chịu lãiTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2023 > Dưới1 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2023 > Từ 1 đến3 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2023 > Từ trên 3đến 6thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2023 > Từ trên 6đến 12thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2023 > Từ trên 1đến 5 nămTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2023 > Trên 5 nămTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2023 > Tổng cộngTriệu VND
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,7.256.184,-,-,-,-,-,-,7.256.184,,7256184.0,,,,,,,7256184.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,-,11.411.883,-,-,-,-,-,11.411.883,,,11411883.0,,,,,,11411883.0
Tiền gửi và cho vay các tổ chức tin dụng khác,Tài sản > Tiền gửi và cho vay các tổ chức tin dụng khác,Tiền gửi và cho vay các tổ chức tin dụng khác,-,-,51.473.903,2.305.000,-,-,-,-,53.778.903,,,51473903.0,2305000.0,,,,,53778903.0
Cho vay khách hàng – gộp,Tài sản > Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,13.512.095,-,159.822.482,288.624.877,317.664,597.753,3.090.411,5.890.398,471.855.680,13512095.0,,159822482.0,288624877.0,317664.0,597753.0,3090411.0,5890398.0,471855680.0
Chứng khoán đầu tư – gộp,Tài sản > Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,-,16.438.478,1.130.217,801.368,3.532.896,6.092.443,24.443.230,36.801.438,89.240.070,,16438478.0,1130217.0,801368.0,3532896.0,6092443.0,24443230.0,36801438.0,89240070.0
"Gộp vốn, đầu tư dài hạn – gộp","Tài sản > Gộp vốn, đầu tư dài hạn – gộp","Gộp vốn, đầu tư dài hạn – gộp",-,3.890.186,-,-,-,-,-,-,3.890.186,,3890186.0,,,,,,,3890186.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,7.091.558,-,-,-,-,-,-,7.091.558,,7091558.0,,,,,,,7091558.0
Tài sản Có khác – gộp,Tài sản > Tài sản Có khác – gộp,Tài sản Có khác – gộp,2.217.552,46.899.423,-,-,-,-,-,-,49.116.975,2217552.0,46899423.0,,,,,,,49116975.0
Tổng tài sản (1),Tài sản > Tổng tài sản (1),Tổng tài sản (1),15.729.647,81.575.829,223.838.485,291.731.245,3.850.560,6.690.196,27.533.641,42.691.836,693.641.439,15729647.0,81575829.0,223838485.0,291731245.0,3850560.0,6690196.0,27533641.0,42691836.0,693641439.0
