row_label_raw,row_label_full,Số dư cuối năm với các bên liên quan,31/12/2024Triệu VND > Phải thu/(phải trả),31/12/2023Triệu VND > Phải thu/(phải trả),numeric__31/12/2024Triệu VND > Phải thu/(phải trả),numeric__31/12/2023Triệu VND > Phải thu/(phải trả)
Các công ty con,Các công ty con,Các công ty con,Các công ty con,Các công ty con,,
Vốn góp,Các công ty con > Vốn góp,Vốn góp,4.093.172,3.793.172,4093172.0,3793172.0
Tiền gửi,Các công ty con > Tiền gửi,Tiền gửi,249.150,241.998,249150.0,241998.0
Cho vay,Các công ty con > Cho vay,Cho vay,4.500.000,3.870.000,4500000.0,3870000.0
Nhận tiền gửi,Các công ty con > Nhận tiền gửi,Nhận tiền gửi,(3.070.508),(2.669.884),-3070508.0,-2669884.0
Phải thu khác,Các công ty con > Phải thu khác,Phải thu khác,92.719,95.457,92719.0,95457.0
Phải trả khác,Các công ty con > Phải trả khác,Phải trả khác,(33.078),(41.025),-33078.0,-41025.0
Các Thành viên của Ban lãnh đạo Ngân hàng,Các Thành viên của Ban lãnh đạo Ngân hàng,Các Thành viên của Ban lãnh đạo Ngân hàng,Các Thành viên của Ban lãnh đạo Ngân hàng,Các Thành viên của Ban lãnh đạo Ngân hàng,,
Cho vay,Các Thành viên của Ban lãnh đạo Ngân hàng > Cho vay,Cho vay,2.169,2.614,2169.0,2614.0
Nhận tiền gửi,Các Thành viên của Ban lãnh đạo Ngân hàng > Nhận tiền gửi,Nhận tiền gửi,(277.253),(230.666),-277253.0,-230666.0
Chứng chỉ tiền gửi,Các Thành viên của Ban lãnh đạo Ngân hàng > Chứng chỉ tiền gửi,Chứng chỉ tiền gửi,(1.310),(450),-1310.0,-450.0
Phải trả khác,Các Thành viên của Ban lãnh đạo Ngân hàng > Phải trả khác,Phải trả khác,(2.393),(7.199),-2393.0,-7199.0
Các bên liên quan đến các Thành viên của Ban lãnh đạo Ngân hàng,Các bên liên quan đến các Thành viên của Ban lãnh đạo Ngân hàng,Các bên liên quan đến các Thành viên của Ban lãnh đạo Ngân hàng,Các bên liên quan đến các Thành viên của Ban lãnh đạo Ngân hàng,Các bên liên quan đến các Thành viên của Ban lãnh đạo Ngân hàng,,
Cho vay,Các bên liên quan đến các Thành viên của Ban lãnh đạo Ngân hàng > Cho vay,Cho vay,4.031.507,4.020.125,4031507.0,4020125.0
Nhận tiền gửi,Các bên liên quan đến các Thành viên của Ban lãnh đạo Ngân hàng > Nhận tiền gửi,Nhận tiền gửi,(262.764),(271.626),-262764.0,-271626.0
Chứng chỉ tiền gửi,Các bên liên quan đến các Thành viên của Ban lãnh đạo Ngân hàng > Chứng chỉ tiền gửi,Chứng chỉ tiền gửi,(21.882),(20.170),-21882.0,-20170.0
Phải thu khác,Các bên liên quan đến các Thành viên của Ban lãnh đạo Ngân hàng > Phải thu khác,Phải thu khác,24.720,25.025,24720.0,25025.0
Phải trả khác,Các bên liên quan đến các Thành viên của Ban lãnh đạo Ngân hàng > Phải trả khác,Phải trả khác,(5.377),(8.562),-5377.0,-8562.0
