row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024 > Quá hạnTriệu VND,Tại ngày 31 tháng 12 năm 2024 > Không chịu lãiTriệu VND,Tại ngày 31 tháng 12 năm 2024 > Dưới1 thángTriệu VND,Tại ngày 31 tháng 12 năm 2024 > Từ 1 đến3 thángTriệu VND,Tại ngày 31 tháng 12 năm 2024 > Từ trên 3đến 6thángTriệu VND,Tại ngày 31 tháng 12 năm 2024 > Từ trên 6đến 12thángTriệu VND,Tại ngày 31 tháng 12 năm 2024 > Từ trên 1đến 5 nămTriệu VND,Tại ngày 31 tháng 12 năm 2024 > Trên 5 nămTriệu VND,Tại ngày 31 tháng 12 năm 2024 > Tổng cộngTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2024 > Quá hạnTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2024 > Không chịu lãiTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2024 > Dưới1 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2024 > Từ 1 đến3 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2024 > Từ trên 3đến 6thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2024 > Từ trên 6đến 12thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2024 > Từ trên 1đến 5 nămTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2024 > Trên 5 nămTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2024 > Tổng cộngTriệu VND
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,7.948.136,-,-,-,-,-,-,7.948.136,,7948136.0,,,,,,,7948136.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,-,15.773.101,-,-,-,-,-,15.773.101,,,15773101.0,,,,,,15773101.0
Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tài sản > Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,-,-,87.752.625,1.180.000,2.380.000,940.000,-,-,92.252.625,,,87752625.0,1180000.0,2380000.0,940000.0,,,92252625.0
Cho vay khách hàng – gộp,Tài sản > Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,15.755.479,-,176.969.166,325.880.434,257.241,484.340,2.605.292,4.813.254,526.765.206,15755479.0,,176969166.0,325880434.0,257241.0,484340.0,2605292.0,4813254.0,526765206.0
Chứng khoán đầu tư – gộp,Tài sản > Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,-,14.953.590,1.675.823,1.125.700,5.034.957,4.250.040,31.201.582,40.666.524,98.908.216,,14953590.0,1675823.0,1125700.0,5034957.0,4250040.0,31201582.0,40666524.0,98908216.0
"Góp vốn, đầu tư dài hạn – gộp","Tài sản > Góp vốn, đầu tư dài hạn – gộp","Góp vốn, đầu tư dài hạn – gộp",-,4.189.814,-,-,-,-,-,-,4.189.814,,4189814.0,,,,,,,4189814.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,7.133.243,-,-,-,-,-,-,7.133.243,,7133243.0,,,,,,,7133243.0
Tài sản Có khác – gộp,Tài sản > Tài sản Có khác – gộp,Tài sản Có khác – gộp,2.206.033,11.286.061,-,-,-,-,-,-,13.492.094,2206033.0,11286061.0,,,,,,,13492094.0
Tổng tài sản (1),Tài sản > Tổng tài sản (1),Tổng tài sản (1),17.961.512,45.510.844,282.170.715,328.186.134,7.672.198,5.674.380,33.806.874,45.479.778,766.462.435,17961512.0,45510844.0,282170715.0,328186134.0,7672198.0,5674380.0,33806874.0,45479778.0,766462435.0
