row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc Triệu VND,Máy móc thiết bị Triệu VND,Phương tiện vận tải Triệu VND,Thiết bị văn phòng Triệu VND,Các tài sản cố định hữu hình khác Triệu VND,Tổng cộng Triệu VND,numeric__Nhà cửa và vật kiến trúc Triệu VND,numeric__Máy móc thiết bị Triệu VND,numeric__Phương tiện vận tải Triệu VND,numeric__Thiết bị văn phòng Triệu VND,numeric__Các tài sản cố định hữu hình khác Triệu VND,numeric__Tổng cộng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,396.154,383.683,232.312,90.787,37.699,1.140.635,396154.0,383683.0,232312.0,90787.0,37699.0,1140635.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,42.402,37.863,14.637,12.874,3.868,111.644,42402.0,37863.0,14637.0,12874.0,3868.0,111644.0
Biến động khác,Nguyên giá > Biến động khác,Biến động khác,39.985,(95.898),(19.967),87.365,(40.430),(28.945),39985.0,-95898.0,-19967.0,87365.0,-40430.0,-28945.0
Chênh lệch tỷ giá,Nguyên giá > Chênh lệch tỷ giá,Chênh lệch tỷ giá,(74),(349),(286),(86),(5),(800),-74.0,-349.0,-286.0,-86.0,-5.0,-800.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,478.467,325.299,226.696,190.940,1.132,1.222.534,478467.0,325299.0,226696.0,190940.0,1132.0,1222534.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,,,
Số dư đầu năm,Hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,110.410,286.314,148.514,83.054,26.669,654.961,110410.0,286314.0,148514.0,83054.0,26669.0,654961.0
Khấu hao trong năm,Hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,33.777,24.641,19.256,19.572,907,98.153,33777.0,24641.0,19256.0,19572.0,907.0,98153.0
Biến động khác,Hao mòn lũy kế > Biến động khác,Biến động khác,26.248,(67.568),(14.736),54.791,(27.281),(28.546),26248.0,-67568.0,-14736.0,54791.0,-27281.0,-28546.0
Chênh lệch tỷ giá,Hao mòn lũy kế > Chênh lệch tỷ giá,Chênh lệch tỷ giá,(45),(202),(69),(50),(2),(368),-45.0,-202.0,-69.0,-50.0,-2.0,-368.0
Số dư cuối năm,Hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,170.390,243.185,152.965,157.367,293,724.200,170390.0,243185.0,152965.0,157367.0,293.0,724200.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,285.744,97.369,83.798,7.733,11.030,485.674,285744.0,97369.0,83798.0,7733.0,11030.0,485674.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,308.077,82.114,73.731,33.573,839,498.334,308077.0,82114.0,73731.0,33573.0,839.0,498334.0
