row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2020(Triệu VND),VND,USD,EUR,Tiền tệ khác,Tổng cộng,numeric__VND,numeric__USD,numeric__EUR,numeric__Tiền tệ khác,numeric__Tổng cộng
Tài sản,Tài sản,Tài sản,,,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,1.108.583,464.163,31.448,15.733,1.619.927,1108583.0,464163.0,31448.0,15733.0,1619927.0
Tiền gửi tại Ngân hàng Nhà nước,Tài sản > Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,8.959.080,5.691.656,568,154.836,14.806.140,8959080.0,5691656.0,568.0,154836.0,14806140.0
Tiền gửi và cho vay các TCTD khác - gộp,Tài sản > Tiền gửi và cho vay các TCTD khác - gộp,Tiền gửi và cho vay các TCTD khác - gộp,20.063.028,10.873.979,178.840,134.667,31.250.514,20063028.0,10873979.0,178840.0,134667.0,31250514.0
Chứng khoán kinh doanh - gộp,Tài sản > Chứng khoán kinh doanh - gộp,Chứng khoán kinh doanh - gộp,3.889,-,-,-,3.889,3889.0,,,,3889.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,3.738.766,(3.586.655),1.420,(19.659),133.872,3738766.0,-3586655.0,1420.0,-19659.0,133872.0
Cho vay khách hàng - gộp,Tài sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,291.709.358,9.870.061,1.890.270,2.167.621,305.637.310,291709358.0,9870061.0,1890270.0,2167621.0,305637310.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,29.518.599,-,-,-,29.518.599,29518599.0,,,,29518599.0
"Góp vốn, đầu tư dài hạn","Tài sản > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",165.891,-,-,-,165.891,165891.0,,,,165891.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,4.852.757,8.586,-,4.720,4.866.063,4852757.0,8586.0,,4720.0,4866063.0
Tài sản Có khác - gộp,Tài sản > Tài sản Có khác - gộp,Tài sản Có khác - gộp,15.515.371,13.799.264,319,62.558,29.377.512,15515371.0,13799264.0,319.0,62558.0,29377512.0
,,,375.635.322,37.121.054,2.102.865,2.520.476,417.379.717,375635322.0,37121054.0,2102865.0,2520476.0,417379717.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,
Các khoản nợ Chính phủ và Ngân hàng Nhà nước,Nợ phải trả > Các khoản nợ Chính phủ và Ngân hàng Nhà nước,Các khoản nợ Chính phủ và Ngân hàng Nhà nước,609.712,-,-,-,609.712,609712.0,,,,609712.0
Tiền gửi và vay các tổ chức tín dụng khác,Nợ phải trả > Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,17.169.886,21.547.490,5,245.009,38.962.390,17169886.0,21547490.0,5.0,245009.0,38962390.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,291.385.675,11.342.445,219.361,634.248,303.581.729,291385675.0,11342445.0,219361.0,634248.0,303581729.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",1.160.297,462.400,1.890.270,-,3.512.967,1160297.0,462400.0,1890270.0,,3512967.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,31.034.079,-,-,-,31.034.079,31034079.0,,,,31034079.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,6.726.718,4.146.962,15.903,52.913,10.942.496,6726718.0,4146962.0,15903.0,52913.0,10942496.0
,,,348.086.367,37.499.297,2.125.539,932.170,388.643.373,348086367.0,37499297.0,2125539.0,932170.0,388643373.0
Trạng thái tiền tệ nội bằng,Nợ phải trả > Trạng thái tiền tệ nội bằng,Trạng thái tiền tệ nội bằng,27.548.955,(378.243),(22.674),1.588.306,28.736.344,27548955.0,-378243.0,-22674.0,1588306.0,28736344.0
