row_label_raw,row_label_full,"Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiếm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Tại ngày 31 tháng 12 năm 2020","Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiếm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Miền BắcTriệu VND","Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiếm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Miền TrungTriệu VND","Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiếm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Miền NamTriệu VND","Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiếm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Nước ngoàiTriệu VND","Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiếm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Tổng cộngTriệu VND","numeric__Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiếm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Miền BắcTriệu VND","numeric__Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiếm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Miền TrungTriệu VND","numeric__Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiếm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Miền NamTriệu VND","numeric__Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiếm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Nước ngoàiTriệu VND","numeric__Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiếm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Tổng cộngTriệu VND"
Tiền mặt và vàng,Tiền mặt và vàng,Tiền mặt và vàng,1.089.485,130.661,333.951,65.830,1.619.927,1089485.0,130661.0,333951.0,65830.0,1619927.0
Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,14.016.581,8.831,5.536,775.192,14.806.140,14016581.0,8831.0,5536.0,775192.0,14806140.0
Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,30.406.027,1.853,1.973,840.661,31.250.514,30406027.0,1853.0,1973.0,840661.0,31250514.0
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,960,-,-,-,960,960.0,,,,960.0
Các công cụ tài chính phải sinh và các tài sảntài chính khác,Các công cụ tài chính phải sinh và các tài sảntài chính khác,Các công cụ tài chính phải sinh và các tài sảntài chính khác,133.872,-,-,-,133.872,133872.0,,,,133872.0
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,218.845.314,21.793.868,52.597.690,8.962.184,302.199.056,218845314.0,21793868.0,52597690.0,8962184.0,302199056.0
Chứng khoán đầu tư,Chứng khoán đầu tư,Chứng khoán đầu tư,28.639.538,-,60,-,28.639.598,28639538.0,,60.0,,28639598.0
"Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",133.140,-,-,-,133.140,133140.0,,,,133140.0
Tài sản cố định,Tài sản cố định,Tài sản cố định,4.776.478,23.828,52.450,13.307,4.866.063,4776478.0,23828.0,52450.0,13307.0,4866063.0
Tài sản Có khác,Tài sản Có khác,Tài sản Có khác,19.862.303,2.946.358,6.026.617,195.045,29.030.323,19862303.0,2946358.0,6026617.0,195045.0,29030323.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,317.903.698,24.905.399,59.018.277,10.852.219,412.679.593,317903698.0,24905399.0,59018277.0,10852219.0,412679593.0
Các khoản nợ Chính phủ và Ngân hàng Nhà nước,Các khoản nợ Chính phủ và Ngân hàng Nhà nước,Các khoản nợ Chính phủ và Ngân hàng Nhà nước,609.712,-,-,-,609.712,609712.0,,,,609712.0
Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,32.163.530,5.745,875,6.792.240,38.962.390,32163530.0,5745.0,875.0,6792240.0,38962390.0
Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,234.426.331,18.141.943,49.217.823,1.795.632,303.581.729,234426331.0,18141943.0,49217823.0,1795632.0,303581729.0
"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụngchịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụngchịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụngchịu rủi ro",3.512.967,-,-,-,3.512.967,3512967.0,,,,3512967.0
Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,24.667.069,3.300.079,3.066.931,-,31.034.079,24667069.0,3300079.0,3066931.0,,31034079.0
Các khoản nợ khác,Các khoản nợ khác,Các khoản nợ khác,8.391.403,597.616,1.128.299,825.178,10.942.496,8391403.0,597616.0,1128299.0,825178.0,10942496.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,303.771.012,22.045.383,53.413.928,9.413.050,388.643.373,303771012.0,22045383.0,53413928.0,9413050.0,388643373.0
