row_label_raw,row_label_full,(Triệu VND),Chưa quá hạn và chưa phải TLDP,Đã quá hạn nhưng chưa phải TLDP,Đã quá hạn nhưng chưa phải TLDP_1,Đã quá hạn nhưng chưa phải TLDP_2,Đã quá hạn nhưng chưa phải TLDP_3,Quá hạn và đã được TLDP,Tổng cộng,numeric__Chưa quá hạn và chưa phải TLDP,numeric__Đã quá hạn nhưng chưa phải TLDP,numeric__Đã quá hạn nhưng chưa phải TLDP_1,numeric__Đã quá hạn nhưng chưa phải TLDP_2,numeric__Đã quá hạn nhưng chưa phải TLDP_3,numeric__Quá hạn và đã được TLDP,numeric__Tổng cộng
(Triệu VND),(Triệu VND),(Triệu VND),Chưa quá hạn và chưa phải TLDP,Quá hạn từ 10 đến 90 ngày,Quá hạn từ 91 đến 180 ngày,Quá hạn từ 181 đến 360 ngày,Quá hạn trên 360 ngày,Quá hạn và đã được TLDP,Tổng cộng,,,,,,,
Tiền gửi tại Ngân hàng Nhà nước,(Triệu VND) > Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,14.806.140,-,-,-,-,-,14.806.140,14806140.0,,,,,,14806140.0
Tiền gửi và cho vay các tổ chức tín dụng khác - thuần,(Triệu VND) > Tiền gửi và cho vay các tổ chức tín dụng khác - thuần,Tiền gửi và cho vay các tổ chức tín dụng khác - thuần,31.250.514,-,-,-,-,-,31.250.514,31250514.0,,,,,,31250514.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,(Triệu VND) > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,133.872,-,-,-,-,-,133.872,133872.0,,,,,,133872.0
Cho vay khách hàng - thuần,(Triệu VND) > Cho vay khách hàng - thuần,Cho vay khách hàng - thuần,291.526.345,3.219.199,62.924,187.511,456.160,6.746.917,302.199.056,291526345.0,3219199.0,62924.0,187511.0,456160.0,6746917.0,302199056.0
Chứng khoán đầu tư - thuần,(Triệu VND) > Chứng khoán đầu tư - thuần,Chứng khoán đầu tư - thuần,27.982.071,-,-,-,-,629.066,28.611.137,27982071.0,,,,,629066.0,28611137.0
Tài sản tài chính khác - thuần,(Triệu VND) > Tài sản tài chính khác - thuần,Tài sản tài chính khác - thuần,28.822.638,-,-,-,-,207.685,29.030.323,28822638.0,,,,,207685.0,29030323.0
,,,394.521.580,3.219.199,62.924,187.511,456.160,7.583.668,406.031.042,394521580.0,3219199.0,62924.0,187511.0,456160.0,7583668.0,406031042.0
Tại ngày 31 tháng 12 năm 2019 (Triệu VND),Tại ngày 31 tháng 12 năm 2019 (Triệu VND),Tại ngày 31 tháng 12 năm 2019 (Triệu VND),Chưa quá hạn và chưa phải TLDP,Đã quá hạn nhưng chưa phải TLDP,Đã quá hạn nhưng chưa phải TLDP,Đã quá hạn nhưng chưa phải TLDP,Đã quá hạn nhưng chưa phải TLDP,Quá hạn và đã được TLDP,Tổng cộng,,,,,,,
Tại ngày 31 tháng 12 năm 2019 (Triệu VND),Tại ngày 31 tháng 12 năm 2019 (Triệu VND),Tại ngày 31 tháng 12 năm 2019 (Triệu VND),Chưa quá hạn và chưa phải TLDP,Quá hạn từ 10 đến 90 ngày,Quá hạn từ 91 đến 180 ngày,Quá hạn từ 181 đến 360 ngày,Quá hạn trên 360 ngày,Quá hạn và đã được TLDP,Tổng cộng,,,,,,,
Tiền gửi tại Ngân hàng Nhà nước,Tại ngày 31 tháng 12 năm 2019 (Triệu VND) > Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,10.163.244,-,-,-,-,-,10.163.244,10163244.0,,,,,,10163244.0
Tiền gửi và cho vay các tổ chức tín dụng khác - thuần,Tại ngày 31 tháng 12 năm 2019 (Triệu VND) > Tiền gửi và cho vay các tổ chức tín dụng khác - thuần,Tiền gửi và cho vay các tổ chức tín dụng khác - thuần,33.708.490,-,-,-,-,-,33.708.490,33708490.0,,,,,,33708490.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tại ngày 31 tháng 12 năm 2019 (Triệu VND) > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,172.946,-,-,-,-,-,172.946,172946.0,,,,,,172946.0
Cho vay khách hàng - thuần,Tại ngày 31 tháng 12 năm 2019 (Triệu VND) > Cho vay khách hàng - thuần,Cho vay khách hàng - thuần,251.505.860,3.499.147,664.650,91.402,1.018.664,5.251.484,262.031.207,251505860.0,3499147.0,664650.0,91402.0,1018664.0,5251484.0,262031207.0
Chứng khoán đầu tư - thuần,Tại ngày 31 tháng 12 năm 2019 (Triệu VND) > Chứng khoán đầu tư - thuần,Chứng khoán đầu tư - thuần,21.374.790,-,-,-,-,201.066,21.575.856,21374790.0,,,,,201066.0,21575856.0
Tài sản tài chính khác - thuần,Tại ngày 31 tháng 12 năm 2019 (Triệu VND) > Tài sản tài chính khác - thuần,Tài sản tài chính khác - thuần,30.185.988,-,-,-,-,682.177,30.868.165,30185988.0,,,,,682177.0,30868165.0
,,,347.111.318,3.499.147,664.650,91.402,1.018.664,6.134.727,358.519.908,347111318.0,3499147.0,664650.0,91402.0,1018664.0,6134727.0,358519908.0
