row_label_raw,row_label_full,"Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo)","Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo)_1","Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo)_2","Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo)_3","Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo)_4","Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo)_5","numeric__Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo)_1","numeric__Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo)_2","numeric__Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo)_3","numeric__Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo)_4","numeric__Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo)_5"
,,,Tín dụngTriệu VND,Đầu tưTriệu VND,Dịch vụTriệu VND,Kinh doanh vàhuy động vốnTriệu VND,Tổng cộngTriệu VND,,,,,
Năm kết thúc ngày 31 tháng 12 năm 2020Doanh thu,Năm kết thúc ngày 31 tháng 12 năm 2020Doanh thu,Năm kết thúc ngày 31 tháng 12 năm 2020Doanh thu,29.549.676,2.954.710,582.914,804.600,33.891.900,29549676.0,2954710.0,582914.0,804600.0,33891900.0
Tại ngày 31 tháng 12 năm 2020Tài sản bộ phậnTài sản phân bổ,Tại ngày 31 tháng 12 năm 2020Tài sản bộ phậnTài sản phân bổ,Tại ngày 31 tháng 12 năm 2020Tài sản bộ phậnTài sản phân bổ,309.476.99115.624.871,29.443.60247.848,242.74610.278.831,47.408.108156.596,386.571.44726.108.146,3.094769911562487e+16,2944360247848.0,24274610278831.0,47408108156596.0,3.865714472610814e+16
Tổng tài sản,Tổng tài sản,Tổng tài sản,325.101.862,29.491.450,10.521.577,47.564.704,412.679.593,325101862.0,29491450.0,10521577.0,47564704.0,412679593.0
Nợ phải trả bộ phậnNợ phân bổ,Nợ phải trả bộ phậnNợ phân bổ,Nợ phải trả bộ phậnNợ phân bổ,(534.475)(808.611),-(2.476),(930.983)(531.943),(385.826.781)(8.104),(387.292.239)(1.351.134),,,,,
Tổng nợ phải trả,Nợ phải trả bộ phậnNợ phân bổ > Tổng nợ phải trả,Tổng nợ phải trả,(1.343.086),(2.476),(1.462.926),(385.834.885),(388.643.373),-1343086.0,-2476.0,-1462926.0,-385834885.0,-388643373.0
Năm kết thúc ngày 31 tháng 12 năm 2019Doanh thu,Nợ phải trả bộ phậnNợ phân bổ > Năm kết thúc ngày 31 tháng 12 năm 2019Doanh thu,Năm kết thúc ngày 31 tháng 12 năm 2019Doanh thu,24.567.122,3.190.634,679.419,1.130.266,29.567.441,24567122.0,3190634.0,679419.0,1130266.0,29567441.0
Tại ngày 31 tháng 12 năm 2019Tài sản bộ phậnTài sản phân bổ,Nợ phải trả bộ phậnNợ phân bổ > Tại ngày 31 tháng 12 năm 2019Tài sản bộ phậnTài sản phân bổ,Tại ngày 31 tháng 12 năm 2019Tài sản bộ phậnTài sản phân bổ,270.233.25517.577.018,22.901.44641.364,205.9238.714.027,45.452.598128.687,338.793.22226.461.096,2.7023325517577016e+16,2290144641364.0,2059238714027.0,45452598128687.0,3.3879322226461096e+16
Tổng tài sản,Nợ phải trả bộ phậnNợ phân bổ > Tổng tài sản,Tổng tài sản,287.810.273,22.942.810,8.919.950,45.581.285,365.254.318,287810273.0,22942810.0,8919950.0,45581285.0,365254318.0
Nợ phải trả bộ phậnNợ phân bổ,Nợ phải trả bộ phậnNợ phân bổ,Nợ phải trả bộ phậnNợ phân bổ,(534.475)(808.611),-(2.476),(930.983)(531.943),(385.826.781)(8.104),(387.292.239)(1.351.134),,,,,
