row_label_raw,row_label_full,col_0,col_1,Thuyết minh,31/12/2020Triệu VND,31/12/2019Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__31/12/2020Triệu VND,numeric__31/12/2019Triệu VND
A,A,A,TÀI SẢN,,,,,,,
I,A > I,I,Tiền mặt và vàng,4,1.619.927,1.754.801,,4.0,1619927.0,1754801.0
II,A > II,II,Tiền gửi tại Ngân hàng Nhà nước,5,14.806.140,10.163.244,,5.0,14806140.0,10163244.0
III,A > III,III,Tiền gửi và cho vay các tổ chức tín dụng khác,6,31.250.514,33.708.490,,6.0,31250514.0,33708490.0
1,A > 1,1,Tiền gửi tại các tổ chức tín dụng khác,,31.153.939,33.617.238,,,31153939.0,33617238.0
2,A > 2,2,Cho vay các tổ chức tín dụng khác,,96.575,91.252,,,96575.0,91252.0
IV,A > IV,IV,Chứng khoán kinh doanh,7,960,502,,7.0,960.0,502.0
1,A > 1,1,Chứng khoán kinh doanh,,3.889,3.889,,,3889.0,3889.0
2,A > 2,2,Dự phòng rủi ro chứng khoán kinh doanh,,(2.929),(3.387),,,-2929.0,-3387.0
V,A > V,V,Các công cụ tài chính phải sinh và các tài sản tài chính khác,8,133.872,172.946,,8.0,133872.0,172946.0
VI,A > VI,VI,Cho vay khách hàng,,302.199.056,262.031.207,,,302199056.0,262031207.0
1,A > 1,1,Cho vay khách hàng,9,305.637.310,265.161.676,,9.0,305637310.0,265161676.0
2,A > 2,2,Dự phòng rủi ro cho vay khách hàng,10,(3.438.254),(3.130.469),,10.0,-3438254.0,-3130469.0
VIII,A > VIII,VIII,Chứng khoán đầu tư,,28.639.598,21.604.317,,,28639598.0,21604317.0
1,A > 1,1,Chứng khoán đầu tư sẵn sàng để bán,11,16.386.007,6.558.244,,11.0,16386007.0,6558244.0
2,A > 2,2,Chứng khoán đầu tư giữ đến ngày đáo hạn,11,13.132.592,15.780.793,,11.0,13132592.0,15780793.0
3,A > 3,3,Dự phòng rủi ro chứng khoán đầu tư,12,(879.001),(734.720),,12.0,-879001.0,-734720.0
IX,A > IX,IX,"Góp vốn, đầu tư dài hạn",13,133.140,133.140,,13.0,133140.0,133140.0
4,A > 4,4,Đầu tư dài hạn khác,,165.891,165.891,,,165891.0,165891.0
5,A > 5,5,Dự phòng giảm giá đầu tư dài hạn,,(32.751),(32.751),,,-32751.0,-32751.0
X,A > X,X,Tài sản cố định,,4.866.063,4.817.506,,,4866063.0,4817506.0
1,A > 1,1,Tài sản cố định hữu hình,14,532.986,498.334,,14.0,532986.0,498334.0
a,A > a,a,Nguyên giá,,1.288.934,1.222.534,,,1288934.0,1222534.0
b,A > b,b,Giá trị hao mòn lũy kế,,(755.948),(724.200),,,-755948.0,-724200.0
3,A > 3,3,Tài sản cố định vô hình,15,4.333.077,4.319.172,,15.0,4333077.0,4319172.0
a,A > a,a,Nguyên giá,,4.623.350,4.590.235,,,4623350.0,4590235.0
b,A > b,b,Giá trị hao mòn lũy kế,,(290.273),(271.063),,,-290273.0,-271063.0
XII,A > XII,XII,Tài sản Có khác,16,29.030.323,30.868.165,,16.0,29030323.0,30868165.0
1,A > 1,1,Các khoản phải thu,,20.234.488,15.804.386,,,20234488.0,15804386.0
2,A > 2,2,"Các khoản lãi, phí phải thu",,7.560.625,8.065.177,,,7560625.0,8065177.0
4,A > 4,4,Tài sản Có khác,,1.582.399,7.510.779,,,1582399.0,7510779.0
5,A > 5,5,Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,,(347.189),(512.177),,,-347189.0,-512177.0
,,,TỔNG TÀI SẢN,,412.679.593,365.254.318,,,412679593.0,365254318.0
