row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc Triệu VND,Máy móc thiết bị Triệu VND,Phương tiện vận tải Triệu VND,Thiết bị văn phòng Triệu VND,Các tài sản cố định hữu hình khác Triệu VND,Tổng cộng Triệu VND,numeric__Nhà cửa và vật kiến trúc Triệu VND,numeric__Máy móc thiết bị Triệu VND,numeric__Phương tiện vận tải Triệu VND,numeric__Thiết bị văn phòng Triệu VND,numeric__Các tài sản cố định hữu hình khác Triệu VND,numeric__Tổng cộng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,478.467,325.299,226.696,190.940,1.132,1.222.534,478467.0,325299.0,226696.0,190940.0,1132.0,1222534.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,10.166,22.674,22.154,38.914,776,94.684,10166.0,22674.0,22154.0,38914.0,776.0,94684.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(5.801),(2.040),(4.258),(1.265),-,(13.364),-5801.0,-2040.0,-4258.0,-1265.0,,-13364.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,(7.508),(58.463),2.394,50.080,(472),(13.969),-7508.0,-58463.0,2394.0,50080.0,-472.0,-13969.0
Chênh lệch tỷ giá,Nguyên giá > Chênh lệch tỷ giá,Chênh lệch tỷ giá,(53),(397),(324),(139),(38),(951),-53.0,-397.0,-324.0,-139.0,-38.0,-951.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,475.271,287.073,246.662,278.530,1.398,1.288.934,475271.0,287073.0,246662.0,278530.0,1398.0,1288934.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,,,
Số dư đầu năm,Hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,170.390,243.185,152.965,157.367,293,724.200,170390.0,243185.0,152965.0,157367.0,293.0,724200.0
Khấu hao trong năm,Hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,10.179,10.359,16.830,16.771,224,54.363,10179.0,10359.0,16830.0,16771.0,224.0,54363.0
"Thanh lý, nhượng bán","Hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(5.566),(2.033),(4.165),(1.236),-,(13.000),-5566.0,-2033.0,-4165.0,-1236.0,,-13000.0
Phân loại lại,Hao mòn lũy kế > Phân loại lại,Phân loại lại,(921),(18.911),2.086,8.814,(98),(9.030),-921.0,-18911.0,2086.0,8814.0,-98.0,-9030.0
Chênh lệch tỷ giá,Hao mòn lũy kế > Chênh lệch tỷ giá,Chênh lệch tỷ giá,(37),(257),(212),(71),(8),(585),-37.0,-257.0,-212.0,-71.0,-8.0,-585.0
Số dư cuối năm,Hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,174.045,232.343,167.504,181.645,411,755.948,174045.0,232343.0,167504.0,181645.0,411.0,755948.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,308.077,82.114,73.731,33.573,839,498.334,308077.0,82114.0,73731.0,33573.0,839.0,498334.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,301.226,54.730,79.158,96.885,987,532.986,301226.0,54730.0,79158.0,96885.0,987.0,532986.0
