row_label_raw,row_label_full,col_0,Vốn điều lệ,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Quỹ dự phòng tài chính,Quỹ dự trữ bổ sung vốn điều lệ,Quỹ khác,Chênh lệch tỷ giá hối đoái,Lợi nhuận chưa phân phối,Tổng cộng,numeric__Vốn điều lệ,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Quỹ dự phòng tài chính,numeric__Quỹ dự trữ bổ sung vốn điều lệ,numeric__Quỹ khác,numeric__Chênh lệch tỷ giá hối đoái,numeric__Lợi nhuận chưa phân phối,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,,
Số dư tại ngày 1/1/2019,Số dư tại ngày 1/1/2019,Số dư tại ngày 1/1/2019,12.036.161,101.716,(5.260),37.413,1.181.879,596.639,1.022,(49.820),4.607.693,18.507.443,12036161.0,101716.0,-5260.0,37413.0,1181879.0,596639.0,1022.0,-49820.0,4607693.0,18507443.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,
Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,
Trích lập bổ sung dự phòng rủi ro theo Đề án,Trích lập bổ sung dự phòng rủi ro theo Đề án,Trích lập bổ sung dự phòng rủi ro theo Đề án,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,
Trích lập các quỹ trong năm,Trích lập các quỹ trong năm,Trích lập các quỹ trong năm,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,
Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,
Số dư tại ngày 31/12/2019,Chênh lệch tỷ giá hối đoái > Số dư tại ngày 31/12/2019,Số dư tại ngày 31/12/2019,12.036.161,101.716,(5.260),37.413,1.181.879,596.639,1.022,(49.820),4.607.693,18.507.443,12036161.0,101716.0,-5260.0,37413.0,1181879.0,596639.0,1022.0,-49820.0,4607693.0,18507443.0
Lợi nhuận thuần trong năm,Chênh lệch tỷ giá hối đoái > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,-,-,2.607.012,2.607.012,,,,,,,,,2607012.0,2607012.0
Phát hành cổ phiếu đề chi trả cổ tức (Thuyết minh 25),Chênh lệch tỷ giá hối đoái > Phát hành cổ phiếu đề chi trả cổ tức (Thuyết minh 25),Phát hành cổ phiếu đề chi trả cổ tức (Thuyết minh 25),2.514.370,-,-,-,-,-,-,-,(2.514.370),-,2514370.0,,,,,,,,-2514370.0,
Phát hành cổ phiếu công chúng trong năm,Chênh lệch tỷ giá hối đoái > Phát hành cổ phiếu công chúng trong năm,Phát hành cổ phiếu công chúng trong năm,2.959.560,-,-,-,-,-,-,-,-,2.959.560,2959560.0,,,,,,,,,2959560.0
Trích lập các quỹ trong năm,Chênh lệch tỷ giá hối đoái > Trích lập các quỹ trong năm,Trích lập các quỹ trong năm,-,-,-,6.589,248.984,132.994,-,-,(388.567),-,,,,6589.0,248984.0,132994.0,,,-388567.0,
Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái > Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,-,-,-,(317),-,(993),-,(48.010),11.525,(37.795),,,,-317.0,,-993.0,,-48010.0,11525.0,-37795.0
Số dư tại ngày 31/12/2020,Chênh lệch tỷ giá hối đoái > Số dư tại ngày 31/12/2020,Số dư tại ngày 31/12/2020,17.510.091,101.716,(5.260),43.685,1.430.863,728.640,1.022,(97.830),4.323.293,24.036.220,17510091.0,101716.0,-5260.0,43685.0,1430863.0,728640.0,1022.0,-97830.0,4323293.0,24036220.0
