row_label_raw,row_label_full,col_0,col_1,2020Triệu VND,2019Triệu VND,numeric__col_1,numeric__2020Triệu VND,numeric__2019Triệu VND
,,,,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,
01,01,01,Mua sắm tài sản cố định,(116.006),(146.714),,-116006.0,-146714.0
02,02,02,"Tiền thu từ thanh lý, nhượng bán tài sản cố định",536,1.892,,536.0,1892.0
08,08,08,"Tiền thu đầu tư, góp vốn vào các đơn vị khác",-,21.000,,,21000.0
09,09,09,"Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",(14.931),2.334,,-14931.0,2334.0
II,II,II,LU'U CHUYÊN TIÊN THUÀN TỪ HOẠT ĐỘNG ĐẦU TƯ,(130.401),(121.488),,-130401.0,-121488.0
,,,,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,
01,01,01,Tăng vốn điều lệ,2.959.560,-,,2959560.0,
04,04,04,"Cổ tức trả cho cổ đông, lợi nhuận đã chia",(445),(436),,-445.0,-436.0
III,III,III,LU'U CHUYÊN TIÊN THUÀN TỪ HOẠT ĐỘNG TÀI CHÍNH,2.959.115,(436),,2959115.0,-436.0
IV,IV,IV,LU'U CHUYÊN TIÊN THUÀN TRONG NĂM,(3.242.378),15.855.953,,-3242378.0,15855953.0
V,V,V,TIÊN VÀ CÁC KHOẢN TƯƠNG ĐƯƠNG TIÊN ĐẦU NĂM,50.822.384,34.966.431,,50822384.0,34966431.0
VII,VII,VII,TIÊN VÀ CÁC KHOẢN TƯƠNG ĐƯƠNG TIÊN CUỐI NĂM (THUYẾT MINH 34),47.580.006,50.822.384,,47580006.0,50822384.0
