row_label_raw,row_label_full,col_0,ASSETS,Codes,Notes,Closing balance,Opening balance,numeric__ASSETS,numeric__Codes,numeric__Notes,numeric__Closing balance,numeric__Opening balance
B.,B.,B.,NON-CURRENT ASSETS,200,,"8,405,582,486,214","7,022,489,548,928",,200.0,,,
I.,I.,I.,Long-term receivables,210,,"400,000,000",-,,210.0,,,
1.,1.,1.,Long-term loans receivable,215,8,"400,000,000",-,,215.0,8.0,,
II.,II.,II.,Fixed assets,220,,"340,335,618,970","146,855,224,517",,220.0,,,
1.,1.,1.,Tangible fixed assets,221,10,"328,421,086,062","137,675,979,566",,221.0,10.0,,
,,,- Cost,222,,"494,420,950,331","293,931,450,901",,222.0,,,
,,,- Accumulated depreciation,223,,"(165,999,864,269)","(156,255,471,335)",,223.0,,,
2.,2.,2.,Intangible assets,227,11,"11,914,532,908","9,179,244,951",,227.0,11.0,,
,,,- Cost,228,,"81,059,561,892","73,932,991,892",,228.0,,,
,,,- Accumulated amortisation,229,,"(69,145,028,984)","(64,753,746,941)",,229.0,,,
III.,III.,III.,Long-term assets in progress,240,,"1,340,743,130,808","1,050,346,964,578",,240.0,,,
1.,1.,1.,Construction in progress,242,12,"1,340,743,130,808","1,050,346,964,578",,242.0,12.0,,
IV.,IV.,IV.,Long-term financial investments,250,,"6,722,613,409,012","5,822,613,409,012",,250.0,,,
1.,1.,1.,Investments in subsidiaries,251,"5, 13","6,229,613,409,012","5,329,613,409,012",,251.0,,,
2.,2.,2.,Investments in associates,252,"5, 14","492,500,000,000","492,500,000,000",,252.0,,,
3.,3.,3.,Equity investments in other entities,253,5,"500,000,000","500,000,000",,253.0,5.0,,
V.,V.,V.,Other long-term assets,260,,"1,490,327,424","2,673,950,821",,260.0,,,
1.,1.,1.,Long-term prepayments,261,,"1,490,327,424","2,673,950,821",,261.0,,,
,,,TOTAL ASSETS (270=100+200),270,,"16,604,172,723,297","11,305,646,772,891",,270.0,,,
