row_label_raw,row_label_full,col_0,Buildings and structures,Machinery and equipment,Office equipment,Motor vehicles,Others,Total,numeric__Buildings and structures,numeric__Machinery and equipment,numeric__Office equipment,numeric__Motor vehicles,numeric__Others,numeric__Total
,,,VND,VND,VND,VND,VND,VND,,,,,,
COST,COST,COST,COST,COST,COST,COST,COST,COST,,,,,,
Opening balance,Opening balance,Opening balance,"170,011,427,079","41,031,039,946","64,350,002,470","18,162,090,455","376,890,951","293,931,450,901",,,,,,
Additions,Additions,Additions,"4,801,502,727",-,"5,391,837,517",-,-,"10,193,340,244",,,,,,
Transfer from construction,Transfer from construction,Transfer from construction,"196,762,385,006",-,"910,405,597",-,-,"197,672,790,603",,,,,,
Disposals,Disposals,Disposals,-,"(192,204,399)","(7,764,556,898)",-,-,"(7,956,761,297)",,,,,,
Others,Others,Others,-,"283,996,550","296,133,330",-,-,"580,129,880",,,,,,
Closing balance,Closing balance,Closing balance,"371,575,314,812","41,122,832,097","63,183,822,016","18,162,090,455","376,890,951","494,420,950,331",,,,,,
ACCUMULATED DEPRECIATION,ACCUMULATED DEPRECIATION,ACCUMULATED DEPRECIATION,ACCUMULATED DEPRECIATION,ACCUMULATED DEPRECIATION,ACCUMULATED DEPRECIATION,ACCUMULATED DEPRECIATION,ACCUMULATED DEPRECIATION,ACCUMULATED DEPRECIATION,,,,,,
Opening balance,Opening balance,Opening balance,"53,739,809,474","40,766,581,141","54,617,722,257","6,754,467,512","376,890,951","156,255,471,335",,,,,,
Charge for the year,Charge for the year,Charge for the year,"7,426,239,705","121,451,719","6,313,641,155","3,010,348,408",-,"16,871,680,987",,,,,,
Disposals,Disposals,Disposals,-,"(192,204,399)","(7,515,213,534)",-,-,"(7,707,417,933)",,,,,,
Others,Others,Others,-,"291,354,980","288,774,900",-,-,"580,129,880",,,,,,
Closing balance,Closing balance,Closing balance,"61,166,049,179","40,987,183,441","53,704,924,778","9,764,815,920","376,890,951","165,999,864,269",,,,,,
NET BOOK VALUE,NET BOOK VALUE,NET BOOK VALUE,NET BOOK VALUE,NET BOOK VALUE,NET BOOK VALUE,NET BOOK VALUE,NET BOOK VALUE,NET BOOK VALUE,,,,,,
Opening balance,Opening balance,Opening balance,"116,271,617,605","264,458,805","9,732,280,213","11,407,622,943",-,"137,675,979,566",,,,,,
Closing balance,Closing balance,Closing balance,"310,409,265,633","135,648,656","9,478,897,238","8,397,274,535",-,"328,421,086,062",,,,,,
