row_label_raw,row_label_full,col_0,RESOURCES,Codes,Notes,Closing balance,Opening balance,numeric__RESOURCES,numeric__Codes,numeric__Notes,numeric__Closing balance,numeric__Opening balance
C.,C.,C.,LIABILITIES,300,,"5,498,847,412,441","1,621,704,112,496",,300.0,,,
I.,I.,I.,Current liabilities,310,,"5,249,581,662,441","1,371,611,362,496",,310.0,,,
1.,1.,1.,Short-term trade payables,311,15,"473,313,612,285","284,069,594,062",,311.0,15.0,,
2.,2.,2.,Short-term advances from customers,312,,"365,063,567","415,359,606",,312.0,,,
3.,3.,3.,Taxes and amounts payable to the State budget,313,16,"4,357,222,239","1,016,234,712",,313.0,16.0,,
4.,4.,4.,Payables to employees,314,,"30,968,596,336","6,616,863",,314.0,,,
5.,5.,5.,Short-term accrued expenses,315,17,"39,671,569,536","48,517,203,398",,315.0,17.0,,
6.,6.,6.,Short-term unearned revenue,318,,"3,847,703,821","1,037,282,677",,318.0,,,
7.,7.,7.,Other current payables,319,18,"269,620,587,064","354,500,401,876",,319.0,18.0,,
8.,8.,8.,Short-term loans,320,20,"4,295,030,000,000","597,000,000,000",,320.0,20.0,,
9.,9.,9.,Short-term provisions,321,,"10,189,080,000","20,368,500,000",,321.0,,,
10.,10.,10.,Bonus and welfare funds,322,,"122,218,227,593","64,680,169,302",,322.0,,,
II.,II.,II.,Long-term liabilities,330,,"249,265,750,000","250,092,750,000",,330.0,,,
1.,1.,1.,Long-term unearned revenue,336,19,"249,265,750,000","250,092,750,000",,336.0,19.0,,
D.,D.,D.,EQUITY,400,,"11,105,325,310,856","9,683,942,660,395",,400.0,,,
I.,I.,I.,Owners' equity,410,21,"11,105,325,310,856","9,683,942,660,395",,410.0,21.0,,
1.,1.,1.,Owners' contributed capital,411,,"7,839,874,860,000","6,783,586,880,000",,411.0,,,
,,,- Ordinary shares carrying voting rights,411a,,"7,839,874,860,000","6,783,586,880,000",,,,,
2.,2.,2.,Share premium,412,,"49,941,441,360","49,941,441,360",,412.0,,,
3.,3.,3.,Treasury shares,415,,"(823,760,000)","(823,760,000)",,415.0,,,
4.,4.,4.,Investment and development fund,418,,"103,009,261","103,009,261",,418.0,,,
5.,5.,5.,Other reserves,420,,"87,203,093,024","87,203,093,024",,420.0,,,
6.,6.,6.,Retained earnings,421,,"3,129,026,667,211","2,763,931,996,750",,421.0,,,
,,,- Retained earnings accumulated to the prior year end,421a,,"1,028,610,004,465","1,527,643,010,297",,,,,
,,,- Retained earnings of the current year,421b,,"2,100,416,662,746","1,236,288,986,453",,,,,
,,,TOTAL RESOURCES (440=300+400),440,,"16,604,172,723,297","11,305,646,772,891",,440.0,,,
