row_label_raw,row_label_full,col_0,Current year,Prior year,numeric__Current year,numeric__Prior year
,,,VND,VND,,
Interest expenses,Interest expenses,Interest expenses,Interest expenses,Interest expenses,,
FPT Software Company Limited,FPT Software Company Limited,FPT Software Company Limited,"73,056,115,818","1,400,839,022",,
FPT Information System Corporation,FPT Information System Corporation,FPT Information System Corporation,"36,887,704,438","32,922,692,880",,
FPT Digital Retail Joint Stock Company,FPT Digital Retail Joint Stock Company,FPT Digital Retail Joint Stock Company,"13,769,640,729","10,701,516,884",,
FPT Education Company Limited,FPT Education Company Limited,FPT Education Company Limited,"13,556,545,368","5,774,329,079",,
FPT Smart Cloud Company Limited,FPT Smart Cloud Company Limited,FPT Smart Cloud Company Limited,"1,083,541,095",-,,
FPT Investment Company Limited,FPT Investment Company Limited,FPT Investment Company Limited,"553,202,486","640,624,386",,
FPT Telecom Joint Stock Company,FPT Telecom Joint Stock Company,FPT Telecom Joint Stock Company,"4,622,083","22,107,165",,
,,,"138,911,372,017","51,462,109,416",,
