row_label_raw,row_label_full,CONTENTS,PAGE(S),numeric__PAGE(S)
STATEMENT OF THE BOARD OF MANAGEMENT,STATEMENT OF THE BOARD OF MANAGEMENT,STATEMENT OF THE BOARD OF MANAGEMENT,1 - 2,
INDEPENDENT AUDITORS' REPORT,INDEPENDENT AUDITORS' REPORT,INDEPENDENT AUDITORS' REPORT,3 - 4,
BALANCE SHEET,BALANCE SHEET,BALANCE SHEET,5 - 7,
INCOME STATEMENT,BALANCE SHEET > INCOME STATEMENT,INCOME STATEMENT,8,8.0
CASH FLOW STATEMENT,CASH FLOW STATEMENT,CASH FLOW STATEMENT,9 - 10,
NOTES TO THE SEPARATE FINANCIAL STATEMENTS,NOTES TO THE SEPARATE FINANCIAL STATEMENTS,NOTES TO THE SEPARATE FINANCIAL STATEMENTS,11 - 37,
