row_label_raw,row_label_full,Related parties,Relationship,numeric__Relationship
FPT Investment Company Limited,FPT Investment Company Limited,FPT Investment Company Limited,Susidiary,
FPT Software Company Limited,FPT Software Company Limited,FPT Software Company Limited,Susidiary,
FPT Smart Cloud Company Limited,FPT Smart Cloud Company Limited,FPT Smart Cloud Company Limited,Susidiary,
FPT Information System Corporation,FPT Information System Corporation,FPT Information System Corporation,Susidiary,
FPT Education Company Limited,FPT Education Company Limited,FPT Education Company Limited,Susidiary,
FPT Telecom Joint Stock Company,FPT Telecom Joint Stock Company,FPT Telecom Joint Stock Company,Susidiary,
FPT Online Service Joint Stock Company,FPT Online Service Joint Stock Company,FPT Online Service Joint Stock Company,Susidiary,
FPT Technology Solutions Company Limited,FPT Technology Solutions Company Limited,FPT Technology Solutions Company Limited,Affiliate,
FPT Land Company Limited,FPT Land Company Limited,FPT Land Company Limited,Affiliate,
Synnex FPT Joint Stock Company,Synnex FPT Joint Stock Company,Synnex FPT Joint Stock Company,Associate,
FPT Digital Retail Joint Stock Company,FPT Digital Retail Joint Stock Company,FPT Digital Retail Joint Stock Company,Associate,
