row_label_raw,row_label_full,col_0,ITEMS,Codes,Notes,Current year,Prior year,numeric__ITEMS,numeric__Codes,numeric__Notes,numeric__Current year,numeric__Prior year
1.,1.,1.,Gross revenue from services rendered,01,22,"291,964,092,178","287,216,908,624",,1.0,22.0,,
2.,2.,2.,Deductions,02,22,-,"11,915,344",,2.0,22.0,,
3.,3.,3.,Net revenue from services rendered (10=01-02),10,22,"291,964,092,178","287,204,993,280",,10.0,22.0,,
4.,4.,4.,Cost of sales from services rendered,11,23,"70,845,327,323","94,889,359,725",,11.0,23.0,,
5.,5.,5.,Gross profit from services rendered (20=10-11),20,,"221,118,764,855","192,315,633,555",,20.0,,,
6.,6.,6.,Financial income,21,25,"3,189,254,995,222","2,107,370,302,786",,21.0,25.0,,
7.,7.,7.,Financial expenses,22,26,"139,062,950,468","51,489,613,035",,22.0,26.0,,
,,,-In which: Interest expense,23,,"138,911,372,017","51,462,109,416",,23.0,,,
8.,8.,8.,Selling expenses,25,,"4,380,835,730","3,174,519,314",,25.0,,,
9.,9.,9.,General and administration expenses,26,27,"373,815,162,930","311,955,905,169",,26.0,27.0,,
10.,10.,10.,Operating profit(30=20+(21-22)-(25+26)),30,,"2,893,114,810,949","1,933,065,898,823",,30.0,,,
11.,11.,11.,Other income,31,,"339,058,283","1,965,907,629",,31.0,,,
12.,12.,12.,Other expenses,32,,"323,922,416","8,258,078,455",,32.0,,,
13.,13.,13.,Profit/(loss) from other activities(40=31-32),40,,"15,135,867","(6,292,170,826)",,40.0,,,
14.,14.,14.,Accounting profit before tax(50=30+40),50,,"2,893,129,946,816","1,926,773,727,997",,50.0,,,
15.,15.,15.,Current corporate income tax expense,51,28,"8,808,174,070","12,208,429,544",,51.0,28.0,,
16.,16.,16.,Net profit after corporate income tax(60=50-51),60,,"2,884,321,772,746","1,914,565,298,453",,60.0,,,
