row_label_raw,row_label_full,col_0,Current year,Prior year,numeric__Current year,numeric__Prior year
,,,VND,VND,,
Short-term trade receivables,Short-term trade receivables,Short-term trade receivables,Short-term trade receivables,Short-term trade receivables,,
FPT Software Company Limited,FPT Software Company Limited,FPT Software Company Limited,"18,612,653,037","14,274,687,281",,
FPT Telecom Joint Stock Company,FPT Telecom Joint Stock Company,FPT Telecom Joint Stock Company,"16,827,370,007","15,366,524,127",,
FPT Education Company Limited,FPT Education Company Limited,FPT Education Company Limited,"11,005,362,199","3,644,594,896",,
FPT Information System Corporation,FPT Information System Corporation,FPT Information System Corporation,"6,355,272,079","1,104,145,960",,
FPT Digital Retail Joint Stock Company,FPT Digital Retail Joint Stock Company,FPT Digital Retail Joint Stock Company,"1,188,029,766","1,171,665,126",,
Synnex FPT Joint Stock Company,Synnex FPT Joint Stock Company,Synnex FPT Joint Stock Company,"199,108,278","292,339,376",,
FPT Smart Cloud Company Limited,FPT Smart Cloud Company Limited,FPT Smart Cloud Company Limited,"189,997,686",-,,
FPT Online Service Joint Stock Company,FPT Online Service Joint Stock Company,FPT Online Service Joint Stock Company,"72,692,893",-,,
FPT Investment Company Limited,FPT Investment Company Limited,FPT Investment Company Limited,-,"23,223,910",,
,,,"54,450,485,945","35,877,180,676",,
Loan receivables,Loan receivables,Loan receivables,Loan receivables,Loan receivables,,
FPT Investment Company Limited,FPT Investment Company Limited,FPT Investment Company Limited,"185,000,000,000",-,,
FPT Land Joint Stock Company,FPT Land Joint Stock Company,FPT Land Joint Stock Company,"10,900,000,000","9,500,000,000",,
FPT Technology Solutions Company Limited,FPT Technology Solutions Company Limited,FPT Technology Solutions Company Limited,-,"17,500,000,000",,
,,,-,"17,500,000,000",,
Other short-term receivables,Other short-term receivables,Other short-term receivables,Other short-term receivables,Other short-term receivables,,
Dividends/profits receivable from subsidiaries,Dividends/profits receivable from subsidiaries,Dividends/profits receivable from subsidiaries,Dividends/profits receivable from subsidiaries,Dividends/profits receivable from subsidiaries,,
FPT Software Company Limited,FPT Software Company Limited,FPT Software Company Limited,"420,000,000,000","380,000,000,000",,
FPT Telecom Joint Stock Company,FPT Telecom Joint Stock Company,FPT Telecom Joint Stock Company,"249,845,764,000",-,,
FPT Education Company Limited,FPT Education Company Limited,FPT Education Company Limited,"150,000,000,000","130,000,000,000",,
,,,"819,845,764,000","510,000,000,000",,
Other short-term receivables,Other short-term receivables,Other short-term receivables,Other short-term receivables,Other short-term receivables,,
FPT Information System Company Limited,FPT Information System Company Limited,FPT Information System Company Limited,"135,839,638,954","142,044,288,335",,
FPT Land Company Limited,FPT Land Company Limited,FPT Land Company Limited,"51,659,931,766","51,553,956,648",,
FPT Investment Company Limited,FPT Investment Company Limited,FPT Investment Company Limited,"6,271,372,076","40,921,089,055",,
FPT Telecom Joint Stock Company,FPT Telecom Joint Stock Company,FPT Telecom Joint Stock Company,"652,366,800",-,,
FPT Software Company Limited,FPT Software Company Limited,FPT Software Company Limited,"138,461,000",-,,
FPT Education Company Limited,FPT Education Company Limited,FPT Education Company Limited,"20,610,000",-,,
FPT Digital Retail Joint Stock Company,FPT Digital Retail Joint Stock Company,FPT Digital Retail Joint Stock Company,"14,406,000",-,,
,,,"194,596,786,596","234,519,334,038",,
