row_label_raw,row_label_full,col_0,Closing balance,Opening balance,numeric__Closing balance,numeric__Opening balance
,,,Share,Share,,
Authorised share capital,Authorised share capital,Authorised share capital,"783,987,486","678,358,688",,
Issued share,Issued share,Issued share,"783,987,486","678,358,688",,
Ordinary shares,Ordinary shares,Ordinary shares,"783,987,486","678,358,688",,
Of which shares subject to restriction in ownership transfer,Of which shares subject to restriction in ownership transfer,Of which shares subject to restriction in ownership transfer,"11,642,061","10,072,368",,
Treasury shares,Of which shares subject to restriction in ownership transfer > Treasury shares,Treasury shares,"(82,376)","(82,376)",-82.376,-82.376
Of which shares subject to restriction in ownership transfer,Of which shares subject to restriction in ownership transfer,Of which shares subject to restriction in ownership transfer,-,-,,
Number of outstanding shares in circulation,Number of outstanding shares in circulation,Number of outstanding shares in circulation,"783,905,110","678,276,312",,
Ordinary shares,Ordinary shares,Ordinary shares,"783,905,110","678,276,312",,
Of which shares subject to restriction in ownership transfer,Of which shares subject to restriction in ownership transfer,Of which shares subject to restriction in ownership transfer,"11,642,061","10,072,368",,
