row_label_raw,row_label_full,col_0,ASSETS,Codes,Notes,Closing balance,Opening balance,numeric__ASSETS,numeric__Codes,numeric__Notes,numeric__Closing balance,numeric__Opening balance
A.,A.,A.,CURRENT ASSETS,100,,"8,198,590,237,083","4,283,157,223,963",,100.0,,,
I.,I.,I.,Cash and cash equivalents,110,4,"2,062,744,834,148","720,832,090,017",,110.0,4.0,,
1.,1.,1.,Cash,111,,"151,644,834,148","334,832,090,017",,111.0,,,
2.,2.,2.,Cash equivalents,112,,"1,911,100,000,000","386,000,000,000",,112.0,,,
II.,II.,II.,Short-term financial investments,120,,"4,534,100,000,000","2,526,500,000,000",,120.0,,,
1.,1.,1.,Held-to-maturity investments,123,5,"4,534,100,000,000","2,526,500,000,000",,123.0,5.0,,
III.,III.,III.,Short-term receivables,130,,"1,530,680,636,913","1,013,646,698,994",,130.0,,,
1.,1.,1.,Short-term trade receivables,131,6,"103,692,219,466","82,736,052,341",,131.0,6.0,,
2.,2.,2.,Short-term advances to suppliers,132,7,"100,494,422,801","54,744,072,487",,132.0,7.0,,
3.,3.,3.,Short-term loan receivables,135,8,"195,500,000,000","27,000,000,000",,135.0,8.0,,
4.,4.,4.,Other short-term receivables,136,9,"1,139,494,264,022","860,989,278,890",,136.0,9.0,,
5.,5.,5.,Provision for short-term doubtful debts,137,,"(8,500,269,376)","(11,822,704,724)",,137.0,,,
IV.,IV.,IV.,Inventories,140,,"8,129,915,288","37,367,253",,140.0,,,
1.,1.,1.,Inventories,141,,"8,129,915,288","37,367,253",,141.0,,,
V.,V.,V.,Other short-term assets,150,,"62,934,850,734","22,141,067,699",,150.0,,,
1.,1.,1.,Short-term prepayments,151,,"3,370,626,124","2,119,551,836",,151.0,,,
2.,2.,2.,Value added tax deductibles,152,,"59,529,421,982","19,986,713,235",,152.0,,,
3.,3.,3.,Taxes and other receivables from the State budget,153,16,"34,802,628","34,802,628",,153.0,16.0,,
