row_label_raw,row_label_full,Name of associate,Place of incorporation and operation,Proportion of ownership interest and voting power held,Principal activities,numeric__Place of incorporation and operation,numeric__Proportion of ownership interest and voting power held,numeric__Principal activities
Synnex FPT Joint Stock Company,Synnex FPT Joint Stock Company,Synnex FPT Joint Stock Company,"No. 17 Duy Tan Street, Dich Vong Hau Ward, Cau Giay District, Hanoi",48.00%,Producing technology products and distributing IT devices and mobile phones; and manufacturing computers,,48.0,
FPT Digital Retail Joint Stock Company,FPT Digital Retail Joint Stock Company,FPT Digital Retail Joint Stock Company,"261-263 Khanh Hoi Street, Ward 5, District 4, Ho Chi Minh City",46.53%,"Retail sales of computers, peripheral devices, software and telecommunication equipment; telecom service agent",,46.53,
