row_label_raw,row_label_full,Name of subsidiary > FPT Information System Corporation,"Place of incorporation and operation > Floor 22, Keangnam Landmark 72, E6, Pham Hung Street, Me Tri, Tu Liem, Hanoi",Proportion of ownership interest (direct and indirect) > 100%,Proportion of voting power held > 100%,"Principal activities > Providing application software solution, ERP services, IT services and integrated system services","numeric__Place of incorporation and operation > Floor 22, Keangnam Landmark 72, E6, Pham Hung Street, Me Tri, Tu Liem, Hanoi",numeric__Proportion of ownership interest (direct and indirect) > 100%,numeric__Proportion of voting power held > 100%,"numeric__Principal activities > Providing application software solution, ERP services, IT services and integrated system services"
FPT Software Company Limited,FPT Software Company Limited,FPT Software Company Limited,"No. 17 Duy Tan Street, Dich Vong Hau Ward, Cau Giay District, Hanoi",100%,100%,Providing software services and products,,1.0,1.0,
FPT Telecom Joint Stock Company (i),FPT Telecom Joint Stock Company (i),FPT Telecom Joint Stock Company (i),"No. 17 Duy Tan Street, Dich Vong Hau Ward, Cau Giay District, Hanoi",45.65%,45.65%,"Providing ADSL services, fixed line internet services, online advertising and other online services",,45.65,45.65,
FPT Education Company Limited,FPT Education Company Limited,FPT Education Company Limited,"No. 17 Duy Tan Street, Dich Vong Hau Ward, Cau Giay District, Hanoi",100%,100%,Providing training and technology services,,1.0,1.0,
FPT Online Service Joint Stock Company,FPT Online Service Joint Stock Company,FPT Online Service Joint Stock Company,"Lot L 29B-31B-33B Tan Thuan Street, Tan Thuan Dong Ward, District 7, Ho Chi Minh City",49.52%,84.15%,Providing online services,,49.52,84.15,
FPT Investment Company Limited,FPT Investment Company Limited,FPT Investment Company Limited,"No. 17 Duy Tan Street, Dich Vong Hau Ward, Cau Giay District, Hanoi",100%,100%,"Providing financial services activities (investment consulting services, excluding legal and financial consulting services)",,1.0,1.0,
FPT Smart Cloud Company Limited,FPT Smart Cloud Company Limited,FPT Smart Cloud Company Limited,"No.17 Duy Tan Street, Dich Vong Hau Ward, Cau Giay District, Hanoi",100%,100%,Providing IT services and other services related to computers,,1.0,1.0,
