row_label_raw,row_label_full,ITEMS,Codes,Current year,Prior year,numeric__Codes,numeric__Current year,numeric__Prior year
III. CASH FLOWS FROM FINANCING ACTIVITIES,III. CASH FLOWS FROM FINANCING ACTIVITIES,III. CASH FLOWS FROM FINANCING ACTIVITIES,III. CASH FLOWS FROM FINANCING ACTIVITIES,III. CASH FLOWS FROM FINANCING ACTIVITIES,III. CASH FLOWS FROM FINANCING ACTIVITIES,,,
1. Proceeds from share issue and owners' contributed capital,III. CASH FLOWS FROM FINANCING ACTIVITIES > 1. Proceeds from share issue and owners' contributed capital,1. Proceeds from share issue and owners' contributed capital,31,"33,917,900,000","30,672,000,000",31.0,,
2. Proceeds from borrowings,III. CASH FLOWS FROM FINANCING ACTIVITIES > 2. Proceeds from borrowings,2. Proceeds from borrowings,33,"10,657,030,000,000","2,689,000,000,000",33.0,,
3. Repayment of borrowings,III. CASH FLOWS FROM FINANCING ACTIVITIES > 3. Repayment of borrowings,3. Repayment of borrowings,34,"(6,959,000,000,000)","(2,622,000,000,000)",34.0,,
4. Dividends and profits paid,III. CASH FLOWS FROM FINANCING ACTIVITIES > 4. Dividends and profits paid,4. Dividends and profits paid,36,"(1,464,543,679,775)","(1,294,140,941,400)",36.0,,
Net cash generated by/(used in) financing activities,III. CASH FLOWS FROM FINANCING ACTIVITIES > Net cash generated by/(used in) financing activities,Net cash generated by/(used in) financing activities,40,"2,267,404,220,225","(1,196,468,941,400)",40.0,,
Net increase/(decrease) in cash (50=20+30+40),III. CASH FLOWS FROM FINANCING ACTIVITIES > Net increase/(decrease) in cash (50=20+30+40),Net increase/(decrease) in cash (50=20+30+40),50,"1,341,759,690,282","(308,202,147,846)",50.0,,
Cash and cash equivalents at the beginning of the year,III. CASH FLOWS FROM FINANCING ACTIVITIES > Cash and cash equivalents at the beginning of the year,Cash and cash equivalents at the beginning of the year,60,"720,832,090,017","1,028,875,665,356",60.0,,
Effects of changes in foreign exchange rates,III. CASH FLOWS FROM FINANCING ACTIVITIES > Effects of changes in foreign exchange rates,Effects of changes in foreign exchange rates,61,"153,053,849","158,572,507",61.0,,
Cash and cash equivalents at the end of the year (70=50+60+61),III. CASH FLOWS FROM FINANCING ACTIVITIES > Cash and cash equivalents at the end of the year (70=50+60+61),Cash and cash equivalents at the end of the year (70=50+60+61),70,"2,062,744,834,148","720,832,090,017",70.0,,
