row_label_raw,row_label_full,col_0,Closing balance,Closing balance_1,Closing balance_2,Opening balance,Opening balance_1,numeric__Closing balance,numeric__Closing balance_1,numeric__Closing balance_2,numeric__Opening balance,numeric__Opening balance_1
,,,Cost,Fair value,VND Note,Cost,VND Fair value,,,,,
b1) Investments in subsidiaries,b1) Investments in subsidiaries,b1) Investments in subsidiaries,"6,229,613,409,012","15,302,240,988,317",,"5,329,613,409,012","11,828,246,911,595",,,,,
FPT Information System Corporation,FPT Information System Corporation,FPT Information System Corporation,"850,000,000,000","1,374,337,963,283",(i),"850,000,000,000","1,271,323,740,373",,,,,
FPT Investment Company Limited,FPT Investment Company Limited,FPT Investment Company Limited,"800,000,000,000","1,058,195,532,749",(i),"800,000,000,000","909,072,750,414",,,,,
FPT Education Company Limited (*),FPT Education Company Limited (*),FPT Education Company Limited (*),"1,000,000,000,000","1,431,741,260,414",(i),"600,000,000,000","876,363,953,331",,,,,
FPT Software Company Limited (*),FPT Software Company Limited (*),FPT Software Company Limited (*),"2,812,073,500,000","3,880,399,379,399",(i),"2,412,073,500,000","3,365,656,284,576",,,,,
FPT Telecom Joint Stock Company,FPT Telecom Joint Stock Company,FPT Telecom Joint Stock Company,"585,592,515,312","7,008,173,680,200",(ii),"585,592,515,312","4,962,845,430,900",,,,,
FPT Smart Cloud Company Limited (*),FPT Smart Cloud Company Limited (*),FPT Smart Cloud Company Limited (*),"100,000,000,000","86,192,846,272",(i),-,-,,,,,
FPT Online Service Joint Stock Company,FPT Online Service Joint Stock Company,FPT Online Service Joint Stock Company,"81,947,393,700","463,200,326,000",(ii),"81,947,393,700","442,984,752,000",,,,,
b2) Investment in associates,b2) Investment in associates,b2) Investment in associates,"492,500,000,000","2,127,471,020,610",,"492,500,000,000","1,710,424,837,234",,,,,
Synnex FPT Joint Stock Company,Synnex FPT Joint Stock Company,Synnex FPT Joint Stock Company,"398,500,000,000","951,343,020,610",(i),"398,500,000,000","936,753,137,234",,,,,
FPT Digital Retail Joint Stock Company,FPT Digital Retail Joint Stock Company,FPT Digital Retail Joint Stock Company,"94,000,000,000","1,176,128,000,000",(ii),"94,000,000,000","773,671,700,000",,,,,
b3) Equity investments in others entities,b3) Equity investments in others entities,b3) Equity investments in others entities,"500,000,000","500,000,000",,"500,000,000","500,000,000",,,,,
Ring road No.4 construction project,Ring road No.4 construction project,Ring road No.4 construction project,"500,000,000","500,000,000",(i),"500,000,000","500,000,000",,,,,
