row_label_raw,row_label_full,No.,Name,Title,Current year,numeric__Name,numeric__Title,numeric__Current year
1.,1.,1.,Mr. Truong Gia Binh,Chairman,0,,,0.0
2.,2.,2.,Mr. Bui Quang Ngoc,Vice Chairman,0,,,0.0
3.,3.,3.,Mr. Do Cao Bao,Member,0,,,0.0
4.,4.,4.,Mr. Le Song Lai,Member,"264,000,000",,,
5.,5.,5.,Mr. Jean Charles,Member,"600,000,000",,,
6.,6.,6.,Mr. Hamaguchi Tomokazu,Member,"2,326,425,000",,,
7.,7.,7.,Mr. Dan E Khoo,Member,"2,326,425,000",,,
Total,Total,Total,Total,Total,"5,516,850,000",,,
