row_label_raw,row_label_full,No.,Name,Title,Current year,numeric__Name,numeric__Title,numeric__Current year
1.,1.,1.,Mr. Nguyen Van Khoa,Executive President,"3,520,000,000",,,
2.,2.,2.,Mr. Nguyen The Phuong,Executive Vice President,"2,750,000,000",,,
3.,3.,3.,Mr. Hoang Viet Anh,Executive Vice President,"2,200,000,000",,,
4.,4.,4.,Mr. Hoang Huu Chien,Chief Accountant,"1,540,000,000",,,
5.,5.,5.,Ms. Bui Nguyen Phuong Chau,In charge of Information Governance and Disclosure,"1,100,000,000",,,
Total,Total,Total,Total,Total,"11,110,000,000",,,
