row_label_raw,row_label_full,No. > 1,Name > Mr. Nguyen Viet Thang,Title > Head of the Board of Supervisors,"Current year > 588,000,000",numeric__Name > Mr. Nguyen Viet Thang,numeric__Title > Head of the Board of Supervisors,"numeric__Current year > 588,000,000"
2,2,2,Mr. Nguyen Khai Hoan,Member,"303,600,000",,,
3,3,3,Ms. Nguyen Thi Kim Anh,Member,"303,600,000",,,
Total,Total,Total,Total,Total,"1,195,200,000",,,
