row_label_raw,row_label_full,col_0,Opening balance,Opening balance_1,In the year,In the year_1,Closing balance,Closing balance_1,numeric__Opening balance,numeric__Opening balance_1,numeric__In the year,numeric__In the year_1,numeric__Closing balance,numeric__Closing balance_1
,,,VND,VND,VND,VND,VND,VND,,,,,,
,,,Amount,Amount able to be paid off,Increases,Decreases,Amount,Amount able to be paid off,,,,,,
Short-term loan and obligation under finance lease from related parties (Details stated in Note 29),Short-term loan and obligation under finance lease from related parties (Details stated in Note 29),Short-term loan and obligation under finance lease from related parties (Details stated in Note 29),Short-term loan and obligation under finance lease from related parties (Details stated in Note 29),Short-term loan and obligation under finance lease from related parties (Details stated in Note 29),Short-term loan and obligation under finance lease from related parties (Details stated in Note 29),Short-term loan and obligation under finance lease from related parties (Details stated in Note 29),Short-term loan and obligation under finance lease from related parties (Details stated in Note 29),Short-term loan and obligation under finance lease from related parties (Details stated in Note 29),,,,,,
FPT Education Company Limited,FPT Education Company Limited,FPT Education Company Limited,"130,000,000,000","130,000,000,000","1,380,000,000,000","920,000,000,000","590,000,000,000","590,000,000,000",,,,,,
FPT Information System Corporation,FPT Information System Corporation,FPT Information System Corporation,"200,000,000,000","200,000,000,000","2,411,000,000,000","1,715,000,000,000","896,000,000,000","896,000,000,000",,,,,,
FPT Digital Retail Joint Stock Company,FPT Digital Retail Joint Stock Company,FPT Digital Retail Joint Stock Company,"220,000,000,000","220,000,000,000","1,660,000,000,000","1,035,000,000,000","845,000,000,000","845,000,000,000",,,,,,
FPT Software Company Limited,FPT Software Company Limited,FPT Software Company Limited,"35,000,000,000","35,000,000,000","5,113,030,000,000","3,271,000,000,000","1,877,030,000,000","1,877,030,000,000",,,,,,
FPT Investment Company Limited,FPT Investment Company Limited,FPT Investment Company Limited,"12,000,000,000","12,000,000,000",-,"7,000,000,000","5,000,000,000","5,000,000,000",,,,,,
FPT Smart Cloud Company Limited,FPT Smart Cloud Company Limited,FPT Smart Cloud Company Limited,-,-,"93,000,000,000","11,000,000,000","82,000,000,000","82,000,000,000",,,,,,
,,,"597,000,000,000","597,000,000,000","10,657,030,000,000","6,959,000,000,000","4,295,030,000,000","4,295,030,000,000",,,,,,
