row_label_raw,row_label_full,col_0,Closing balance,Opening balance,numeric__Closing balance,numeric__Opening balance
,,,VND,VND,,
FPT Education Company Limited,FPT Education Company Limited,FPT Education Company Limited,"308,494,627,889","165,061,678,160",,
Vietnam Investment Construction and Trading Joint Stock Company,Vietnam Investment Construction and Trading Joint Stock Company,Vietnam Investment Construction and Trading Joint Stock Company,"43,274,792,123","68,547,916,274",,
FPT Information System Corporation,FPT Information System Corporation,FPT Information System Corporation,"25,685,136,785","27,057,527,104",,
319 Corporation Ministry Of National Defence,319 Corporation Ministry Of National Defence,319 Corporation Ministry Of National Defence,"18,043,213,238",-,,
Vietnam Installation Construction and Refrigeratory Joint Stock Company (VMRC),Vietnam Installation Construction and Refrigeratory Joint Stock Company (VMRC),Vietnam Installation Construction and Refrigeratory Joint Stock Company (VMRC),"15,435,343,450",-,,
FPT Software Company Limited,FPT Software Company Limited,FPT Software Company Limited,"8,818,320,750","42,208,742",,
FPT Telecom Joint Stock Company,FPT Telecom Joint Stock Company,FPT Telecom Joint Stock Company,"5,551,413,133","7,272,024,339",,
Others,Others,Others,"48,010,764,917","16,088,239,443",,
,,,"473,313,612,285","284,069,594,062",,
Payables to related parties(Details stated in Note 29),Payables to related parties(Details stated in Note 29),Payables to related parties(Details stated in Note 29),"355,293,513,784","199,558,938,345",,
