row_label_raw,row_label_full,col_0,Owners'contributedcapital,Share premium,Treasury shares,Other reserves,Investment anddevelopmentfund,Retained earnings,Total,numeric__Owners'contributedcapital,numeric__Share premium,numeric__Treasury shares,numeric__Other reserves,numeric__Investment anddevelopmentfund,numeric__Retained earnings,numeric__Total
,,,VND,VND,VND,VND,VND,VND,VND,,,,,,,
Prior year's opening balance,Prior year's opening balance,Prior year's opening balance,"6,136,367,720,000","49,941,441,360","(823,760,000)","87,203,093,024","103,009,261","2,760,810,099,137","9,033,601,602,782",,,,,,,
Shares issued,Shares issued,Shares issued,"30,672,000,000",-,-,-,-,-,"30,672,000,000",,,,,,,
Profit for the year,Profit for the year,Profit for the year,-,-,-,-,-,"1,914,565,298,453","1,914,565,298,453",,,,,,,
Stock dividends declared,Stock dividends declared,Stock dividends declared,"616,547,160,000",-,-,-,-,"(616,547,160,000)",-,,,,,,,
Cash dividends declared,Cash dividends declared,Cash dividends declared,-,-,-,-,-,"(1,294,897,908,000)","(1,294,897,908,000)",,,,,,,
Other movements of equity,Other movements of equity,Other movements of equity,-,-,-,-,-,"1,667,160","1,667,160",,,,,,,
Current year's opening balance,Current year's opening balance,Current year's opening balance,"6,783,586,880,000","49,941,441,360","(823,760,000)","87,203,093,024","103,009,261","2,763,931,996,750","9,683,942,660,395",,,,,,,
Shares issued,Shares issued,Shares issued,"33,917,900,000",-,-,-,-,-,"33,917,900,000",,,,,,,
Profit for the year,Profit for the year,Profit for the year,-,-,-,-,-,"2,884,321,772,746","2,884,321,772,746",,,,,,,
Stock dividends declared (i),Stock dividends declared (i),Stock dividends declared (i),"1,022,370,080,000",-,-,-,-,"(1,022,370,080,000)",-,,,,,,,
Cash dividends declared (i),Cash dividends declared (i),Cash dividends declared (i),-,-,-,-,-,"(1,465,573,212,000)","(1,465,573,212,000)",,,,,,,
Other movements of equity,Other movements of equity,Other movements of equity,-,-,-,-,-,"(31,283,810,285)","(31,283,810,285)",,,,,,,
Current year's closing balance,Current year's closing balance,Current year's closing balance,"7,839,874,860,000","49,941,441,360","(823,760,000)","87,203,093,024","103,009,261","3,129,026,667,211","11,105,325,310,856",,,,,,,
