row_label_raw,row_label_full,col_0,Current year,Prior year,numeric__Current year,numeric__Prior year
,,,VND,VND,,
Capital contribution,Capital contribution,Capital contribution,Capital contribution,Capital contribution,,
FPT Software Company Limited,FPT Software Company Limited,FPT Software Company Limited,"400,000,000,000","400,000,000,000",,
FPT Education Company Limited,FPT Education Company Limited,FPT Education Company Limited,"400,000,000,000","150,000,000,000",,
FPT Smart Cloud Company Limited,FPT Smart Cloud Company Limited,FPT Smart Cloud Company Limited,"100,000,000,000",-,,
,,,"900,000,000,000","550,000,000,000",,
Rendering of services,Rendering of services,Rendering of services,Rendering of services,Rendering of services,,
FPT Software Company Limited,FPT Software Company Limited,FPT Software Company Limited,"70,720,910,064","92,021,927,047",,
FPT Telecom Joint Stock Company,FPT Telecom Joint Stock Company,FPT Telecom Joint Stock Company,"61,847,529,603","62,586,891,908",,
FPT Information System Corporation,FPT Information System Corporation,FPT Information System Corporation,"37,857,719,489","38,438,395,357",,
FPT Education Company Limited,FPT Education Company Limited,FPT Education Company Limited,"9,981,134,117","5,805,334,573",,
FPT Online Service Joint Stock Company,FPT Online Service Joint Stock Company,FPT Online Service Joint Stock Company,"8,892,057,708","8,957,275,970",,
FPT Digital Retail Joint Stock Company,FPT Digital Retail Joint Stock Company,FPT Digital Retail Joint Stock Company,"5,014,980,739","7,214,056,515",,
Synnex FPT Joint Stock Company,Synnex FPT Joint Stock Company,Synnex FPT Joint Stock Company,"1,190,741,552","2,305,308,851",,
FPT Smart Cloud Company Limited,FPT Smart Cloud Company Limited,FPT Smart Cloud Company Limited,"517,580,104",-,,
FPT Investment Company Limited,FPT Investment Company Limited,FPT Investment Company Limited,"475,259,459","40,891,424",,
,,,"196,497,912,835","217,370,081,645",,
"Purchases of goods, services and constructions","Purchases of goods, services and constructions","Purchases of goods, services and constructions","Purchases of goods, services and constructions","Purchases of goods, services and constructions",,
FPT Information System Corporation,FPT Information System Corporation,FPT Information System Corporation,"76,648,502,713","82,205,545,669",,
FPT Education Company Limited,FPT Education Company Limited,FPT Education Company Limited,"76,043,145,546","96,629,984,091",,
FPT Digital Retail Joint Stock Company,FPT Digital Retail Joint Stock Company,FPT Digital Retail Joint Stock Company,"32,458,952,465","6,237,028,007",,
FPT Telecom Joint Stock Company,FPT Telecom Joint Stock Company,FPT Telecom Joint Stock Company,"23,903,696,814","21,953,987,953",,
FPT Software Company Limited,FPT Software Company Limited,FPT Software Company Limited,"16,066,924,006","10,383,779,392",,
FPT Online Service Joint Stock Company,FPT Online Service Joint Stock Company,FPT Online Service Joint Stock Company,"3,183,050,000","1,353,725,715",,
FPT Investment Company Limited,FPT Investment Company Limited,FPT Investment Company Limited,"1,450,000,000",-,,
Synnex FPT Joint Stock Company,Synnex FPT Joint Stock Company,Synnex FPT Joint Stock Company,"1,212,728,484","2,149,235,460",,
FPT Smart Cloud Company Limited,FPT Smart Cloud Company Limited,FPT Smart Cloud Company Limited,"1,143,327,179",-,,
,,,"232,110,327,207","220,913,286,287",,
Dividends received/profits transferred from subsidiaries,Dividends received/profits transferred from subsidiaries,Dividends received/profits transferred from subsidiaries,Dividends received/profits transferred from subsidiaries,Dividends received/profits transferred from subsidiaries,,
FPT Software Company Limited,FPT Software Company Limited,FPT Software Company Limited,"1,420,000,000,000","1,300,000,000,000",,
FPT Telecom Joint Stock Company,FPT Telecom Joint Stock Company,FPT Telecom Joint Stock Company,"601,901,160,000","103,242,052,000",,
FPT Education Company Limited,FPT Education Company Limited,FPT Education Company Limited,"492,291,700,707","330,000,000,000",,
Synnex FPT Joint Stock Company,Synnex FPT Joint Stock Company,Synnex FPT Joint Stock Company,"171,133,791,000","28,522,298,500",,
FPT Information System Corporation,FPT Information System Corporation,FPT Information System Corporation,"100,000,000,000",-,,
FPT Digital Retail Joint Stock Company,FPT Digital Retail Joint Stock Company,FPT Digital Retail Joint Stock Company,"36,754,000,000","31,960,000,000",,
FPT Online Service Joint Stock Company,FPT Online Service Joint Stock Company,FPT Online Service Joint Stock Company,"17,578,760,000","80,862,296,000",,
,,,"2,839,659,411,707","1,874,586,646,500",,
Interest income (loan interest),Interest income (loan interest),Interest income (loan interest),Interest income (loan interest),Interest income (loan interest),,
FPT Digital Retail Joint Stock Company,FPT Digital Retail Joint Stock Company,FPT Digital Retail Joint Stock Company,"4,976,273,973",-,,
FPT Investment Company Limited,FPT Investment Company Limited,FPT Investment Company Limited,"354,794,521","273,916,665",,
FPT Land Company Limited,FPT Land Company Limited,FPT Land Company Limited,"105,975,118",-,,
FPT Information System Corporation,FPT Information System Corporation,FPT Information System Corporation,"45,986,064","7,144,958,381",,
,,,"5,483,029,676","7,418,875,046",,
