row_label_raw,row_label_full,col_0,Closing balance,Opening balance,numeric__Closing balance,numeric__Opening balance
,,,VND,VND,,
"Dividends, profits receivable from subsidiaries","Dividends, profits receivable from subsidiaries","Dividends, profits receivable from subsidiaries","819,845,764,000","510,000,000,000",,
Bank and loan interest,Bank and loan interest,Bank and loan interest,"106,302,578,474","88,665,255,547",,
Deposits and mortgages,Deposits and mortgages,Deposits and mortgages,"4,629,892,952","4,634,837,367",,
Others,Others,Others,"208,716,028,596","257,689,185,976",,
- FPT Information System Corporation,- FPT Information System Corporation,- FPT Information System Corporation,"135,839,638,954","142,044,288,335",,
- FPT Land Company Limited,- FPT Land Company Limited,- FPT Land Company Limited,"51,280,039,983","51,280,039,983",,
- FPT Investment Company Limited,- FPT Investment Company Limited,- FPT Investment Company Limited,"5,916,577,555","40,921,089,055",,
- Others,- Others,- Others,"15,679,772,104","23,443,768,603",,
,,,"1,139,494,264,022","860,989,278,890",,
Other short-term receivables from related parties (Details stated in Note 29),Other short-term receivables from related parties (Details stated in Note 29),Other short-term receivables from related parties (Details stated in Note 29),"1,014,442,550,596","744,519,334,038",,
