row_label_raw,row_label_full,col_0,Closing balance,Closing balance_1,Opening balance,Opening balance_1,numeric__Closing balance,numeric__Closing balance_1,numeric__Opening balance,numeric__Opening balance_1
,,,VND,VND,VND,VND,,,,
,,,Cost,Carrying amount,Cost,Carrying amount,,,,
Term deposits (i),Term deposits (i),Term deposits (i),"4,534,100,000,000","4,534,100,000,000","2,526,500,000,000","2,526,500,000,000",,,,
