row_label_raw,row_label_full,col_0,Computersoftware,numeric__Computersoftware
,,,VND,
COST,COST,COST,COST,
Opening balance,Opening balance,Opening balance,"73,932,991,892",
Purchases,Purchases,Purchases,"7,126,570,000",
Closing balance,Closing balance,Closing balance,"81,059,561,892",
ACCUMULATED AMORTIZATION,ACCUMULATED AMORTIZATION,ACCUMULATED AMORTIZATION,ACCUMULATED AMORTIZATION,
Opening balance,Opening balance,Opening balance,"64,753,746,941",
Charge for the year,Charge for the year,Charge for the year,"4,391,282,043",
Closing balance,Closing balance,Closing balance,"69,145,028,984",
NET BOOK VALUE,NET BOOK VALUE,NET BOOK VALUE,NET BOOK VALUE,
Opening balance,Opening balance,Opening balance,"9,179,244,951",
Closing balance,Closing balance,Closing balance,"11,914,532,908",
