row_label_raw,row_label_full,col_0,Years,numeric__Years
Buildings and structures,Buildings and structures,Buildings and structures,10 - 25,
Machinery and equipment,Machinery and equipment,Machinery and equipment,5 - 25,
Office equipment,Office equipment,Office equipment,3 - 5,
Motor vehicles,Motor vehicles,Motor vehicles,4 - 6,
Other assets,Other assets,Other assets,3 - 4,
